課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
2-2,10,個,ge,M,general measure word,lượng từ chung,1
2-2,11,沒,méi,Adv,not,không (phủ định),1
2-2,12,兄弟,xiōngdì,N,brothers,anh em trai,1
2-2,13,姐妹,jiěmèi,N,sisters,chị em gái,1
2-2,14,五,wǔ,N,five,năm,1
2-2,15,兩,liǎng,N,two,hai,1
3-1,1,週末,zhōumò,N,weekend,cuối tuần,1
3-1,2,聽,tīng,V,to listen,nghe,1
3-1,3,音樂,yīnyuè,N,music,âm nhạc,1
3-1,4,運動,yùndòng,Vi,to exercise,tập thể dục,1
3-1,5,打,dǎ,V,to play (ball games),chơi (các môn thể thao bóng),1
3-1,6,網球,wǎngqiú,N,tennis,quần vợt,1
3-1,7,棒球,bàngqiú,N,baseball,bóng chày,1
3-1,8,和,hàn,Conj,"and, as well as",và,1
3-1,9,游泳,yóuyǒng,V-sep,to swim,bơi,1
3-1,10,常,cháng,Adv,often,thường,1
3-1,11,籃球,lánqiú,N,basketball,bóng rổ,1
3-1,12,也,yě,Adv,also,cũng,1
3-1,13,踢,tī,V,to kick,đá,1
3-1,14,足球,zúqiú,N,soccer,bóng đá,1
3-1,15,覺得,juéde,Vst,"to feel, to think","cảm thấy, nghĩ",1
3-1,16,好玩,hǎowán,Vs,"interesting, fun","thú vị, vui",1
3-1,17,明天,míngtiān,N,tomorrow,ngày mai,1
3-1,18,早上,zǎoshàng,N,morning,buổi sáng,1
3-1,19,去,qù,V,to go,đi,1
3-1,20,怎麼樣,zěnmeyàng,Vs,How about it?How does that sound?What do you think?,Thế nào? Nghe vậy được không? Bạn nghĩ sao?,1
3-1,21,啊,a,Ptc,sentence final particle ,trợ từ cuối câu,1
3-1,22,做什麼,zuò shénme,,do what,làm gì,1
3-1,23,好啊,Hǎo a,,OK,OK,1
3-2,1,白如玉,Bái Rúyù,,a woman from the US,một phụ nữ từ Mỹ,1
3-2,2,今天,jīntiān,N,today,hôm nay,1
3-2,3,晚上,wǎnshàng,N,"evening, night","buổi tối, đêm",1
3-2,4,看,kàn,V,"to see, to watch","xem, nhìn",1
3-2,5,電影,diànyǐng,N,movie,phim,1
3-2,6,妳,nǐ,N,you (female),bạn (nữ giới),1
3-2,7,想,xiǎng,Vaux,"to want, to think","muốn, nghĩ",1
3-2,8,還是,háishì,Conj,or (used in a question),hay là (dùng trong câu hỏi),1
3-2,9,吧,ba,Ptc,sentence- final particle for suggestion,trợ từ cuối câu để gợi ý,1
3-2,10,可以,kěyǐ,Vaux,could (possibility),có thể (khả năng),1
3-2,11,學,xué,V,"to learn, to study",học,1
3-2,12,中文,Zhōngwén,N,Chinese language,tiếng Trung Quốc,1
3-2,13,一起,yìqǐ,Adv,together,cùng nhau,1
3-2,14,吃,chī,V,to eat,ăn,1
3-2,15,晚飯,wǎnfàn,N,dinner,bữa tối,1
3-2,16,菜,cài,N,cuisine,ẩm thực,1
3-2,17,越南,Yuènán,,Vietnam,Việt Nam,1
3-2,18,好不好,hǎo bù hǎo,,"How about…?  
How does that sound?
",... có được không? Nghe vậy được không?,1
4-1,1,一共,yígòng,Adv,altogether,tổng cộng,1
4-1,2,多少,duōshǎo,N,"how much, how many",bao nhiêu,1
4-1,3,錢,qián,N,money,tiền,1
4-1,4,老闆,lǎobǎn,N,"store-owner , boss","chủ cửa hàng, ông chủ",1
4-1,5,買,mǎi,V,to buy,mua,1
4-1,6,杯,bēi,M,cup,cốc,1
4-1,7,熱,rè,Vs,hot,nóng,1
4-1,8,包子,bāozi,N,steamed buns with meat stuffing filling,bánh bao nhân thịt,1
4-1,9,要,yào,V,"to want, to need","muốn, cần",1
4-1,10,大,dà,Vs,large,lớn,1
4-1,11,中,zhōng,Vs-attr,medium,trung bình,1
4-1,12,小,xiǎo,Vs,small,nhỏ,1
4-1,13,幫,bāng,Prep,for,"cho, thay cho",1
4-1,14,微波,wéibō,V,to microwave,quay vi sóng,1
4-1,15,百,bǎi,N,hundred,trăm,1
4-1,16,塊,kuài,M,measure word for Chinese money,lượng từ cho tiền Trung Quốc,1
4-1,17,好的,hǎode,OK,,OK,1
4-1,18,外帶,wàidài,"take out, to go",,mang về,1
4-1,19,內用,nèiyòng,for here,,dùng tại chỗ,1
4-2,1,支,zhī,M,measure word for cell phones,lượng từ cho điện thoại di động,1
4-2,2,新,xīn,Vs,new,mới,1
4-2,3,手機,shǒujī,N,cell phone,điện thoại di động,1
4-2,4,太,tài,Adv,too,quá,1
4-2,5,舊,jiù,Vs,old,cũ,1
4-2,6,了,le,Ptc,sentence-final particle indicating the speaker’s sense of certainty,trợ từ cuối câu chỉ sự chắc chắn của người nói,1
4-2,7,種,zhǒng,M,"kind, type","loại, kiểu",1
4-2,8,能,néng,Vaux,"can, to be able to",có thể,1
4-2,9,上網,shàngwǎng,V-sep,"to access the internet,to use the internet","lên mạng, sử dụng internet",1
4-2,10,那,nà/nèi,Det,that,"đó, cái đó",1
4-2,11,貴,guì,Vs,expensive,đắt,1
4-2,12,賣,mài,V,to sell,bán,1
4-2,13,便宜,piányí,Vs,"cheap, inexpensive",rẻ,1
4-2,14,要,yào,Vst,"to take, to require ","cần, đòi hỏi",1
4-2,15,萬,wàn,N,ten thousand,mười ngàn,1
4-2,16,千,qiān,N,thousand,ngàn,1
4-2,17,為什麼,wèishénme,,why,tại sao,1
5-1,1,牛肉,niúròu ,N ,beef,thịt bò,1
5-1,2,麵,miàn,N,noodles,mì,1
5-1,3,真,zhēn,Adv,really,thực sự,1
5-1,4,好吃,hǎochī,Vs,delicious,ngon,1
5-1,5,說,shuō,V,say,nói,1
5-1,6,少,shǎo,Vs-pred,few in number,ít về số lượng,1
5-1,7,有名,yǒumíng,Vs,"well known, famous",nổi tiếng,1
5-1,8,小吃,xiǎochī,N,"light repast, snack","bữa ăn nhẹ, đồ ăn vặt",1
5-1,9,最,zuì,Adv,most,nhất,1
5-1,10,湯,tāng,N,"soup, broth","súp, nước dùng",1
5-1,11,這麼,zhème ,Adv,so,như vậy,1
5-1,12,知道,zhīdào,Vst,to know,biết,1
5-1,13,家,jiā,M,"measure word for restaurants, shops, etc.","lượng từ cho nhà hàng, cửa hàng, v.v.",1
5-1,14,店,diàn,N,"shop, store","cửa hàng, tiệm",1
5-1,15,一定,yídìng,Adv,"really must,definitely","chắc chắn phải, nhất định",1
5-1,16,點,diǎn,V,to order (meals),gọi (món ăn),1
5-1,17,碗,wǎn,M,a bowl of,một bát,1
5-1,18,是 啊,shì a,,That’s right.,Đúng vậy.,1
5-1,19,小籠包,xiǎolóngbāo,,"xiaolongbao, e.g., small meat and cabbage-filled steamed buns",bánh bao sủi cảo,1
5-1,20,臭豆腐,chòu dòufǔ,,stinky tofu (fermented tofu),đậu phụ thối (đậu phụ lên men),1
5-1,21,太好了,tài hǎo le,,Excellent. Great.,Tuyệt quá. Tuyệt vời.,1
5-2,1,昨天,zuótiān,N,yesterday,hôm qua,1
5-2,2,餐廳,cāntīng,N,restaurant,nhà hàng,1
5-2,3,可是,kěshì,Conj,"but, however","nhưng, tuy nhiên",1
5-2,4,辣,là,Vs,hot (spicy),cay,1
5-2,5,怕,pà,Vst,"(here) to not like, to fear","(ở đây) không thích, sợ",1
5-2,6,所以,suǒyǐ,Conj,"therefore, so","vì vậy, do đó",1
5-2,7,自己,zìjǐ,N,self,bản thân,1
5-2,8,做飯,zuòfàn,V-sep,to cook,nấu ăn,1
5-2,9,得,de,Ptc,complement marker,trợ từ bổ ngữ,1
5-2,10,會,huì,Vaux,"to be able to, can",có thể,1
5-2,11,甜點,tiándiǎn,N,dessert,món tráng miệng,1
5-2,12,不錯,búcuò,Vs,not bad,không tệ,1
5-2,13,可以,kěyǐ,Vaux,could (possibility),có thể (khả năng),1
5-2,14,教,jiāo,V,to teach,dạy,1
5-2,15,到,dào,Prep,to ,đến,1
5-2,16,有一點,yǒu yìdiǎn,,a little,một chút,1
5-2,17,不好,bù hǎo,,not well,không tốt,1
6-1,1,他們,tāmen,N,they (used for people only),họ (chỉ dùng cho người),1
6-1,2,學校,xuéxiào,N,school,trường học,1
6-1,3,在,zài,Vst,to be located at,ở tại,1
6-1,4,山上,shānshàng,N,"on a mountain, in the mountains","trên núi, trong vùng núi",1
6-1,5,哪裡,nǎlǐ,N,where,ở đâu,1
6-1,6,遠,yuǎn,Vs,far,xa,1
6-1,7,那裡,nàlǐ,N,"that place, there","nơi đó, ở đó",1
6-1,8,風景,fēngjǐng,N,"scenery, landscape",phong cảnh,1
6-1,9,美,měi,Vs,beautiful  ,đẹp,1
6-1,10,前面,qiánmiàn,N,front,phía trước,1
6-1,11,海,hǎi,N,ocean,biển,1
6-1,12,後面,hòumiàn,N,back,phía sau,1
6-1,13,山,shān,N,mountain,núi,1
6-1,14,真的,zhēnde,Adv,"really, truly","thực sự, thật sự",1
6-1,15,地方,dìfāng,N,place,nơi chốn,1
6-1,16,現在,xiànzài,N,now,bây giờ,1
6-1,17,附近,fùjìn,N,"vicinity,near","vùng lân cận, gần",1
6-1,18,樓下,lóuxià,N,downstairs,dưới lầu,1
6-1,19,找,zhǎo,V,"to meet, to see","gặp, thấy",1
6-1,20,朋友,péngyǒu,N,friend,bạn bè,1
6-1,21,上課,shàngkè,V-sep,to go to class,đi học,1
6-1,22,花蓮,Huālián,,name of a city on the eastern coast of Taiwan,tên một thành phố trên bờ biển phía đông Đài Loan,1
6-1,23,聽說,tīngshuō,,hear that,nghe nói rằng,1
6-2,1,近,jìn,Vs,near,gần,1
6-2,2,方便,fāngbiàn,Vs,convenient,thuận tiện,1
6-2,3,這裡,zhèlǐ,N,"here, this place","ở đây, nơi này",1
6-2,4,學生,xuéshēng,N,student,học sinh,1
6-2,5,在,zài,Prep,at,ở tại,1
6-2,6,東西,dōngxi,N,"things, stuff",đồ đạc,1
6-2,7,外面,wàimiàn,N,outside,bên ngoài,1
6-2,8,裡面,lǐmiàn,N,inside,bên trong,1
6-2,9,商店,shāngdiàn,N,store; shop,cửa hàng,1
6-2,10,吃飯,chīfàn,V-sep,to have a meal,ăn cơm,1
6-2,11,宿舍,sùshè,N,dormitory,ký túc xá,1
6-2,12,樓,lóu,N,"a storey, a floor",tầng lầu,1
6-2,13,棟,dòng,M,measure word for buildings,lượng từ cho tòa nhà,1
6-2,14,大樓,dàlóu,N,a multi-storey building,tòa nhà nhiều tầng,1
6-2,15,圖書館,túshūguǎn,N,library,thư viện,1
6-2,16,旁邊,pángbiān,N,"(by the) side, next to",bên cạnh,1
6-2,17,教室,jiàoshì,N,classroom,lớp học,1
6-2,18,游泳池,yóuyǒngchí,N,swimming pool,hồ bơi,1
7-1,1,點,diǎn,M,o'clock,giờ,1
7-1,2,KTV,,N,Karaoke,Karaoke,1
7-1,3,唱歌,chànggē,V-sep,to sing,hát,1
7-1,4,分,fēn,M,minute,phút,1
7-1,5,見面,jiànmiàn,V-sep,meet,gặp mặt,1
7-1,6,從,cóng,Prep,from,từ,1
7-1,7,中午,zhōngwǔ,N,noon,buổi trưa,1
7-1,8,得,děi,Vaux,"to have to, must","phải, cần phải",1
7-1,9,銀行,yínháng,N,bank,ngân hàng,1
7-1,10,時候,shíhòu,N,when,khi nào,1
7-1,11,後天,hòutiān,N,the day after tomorrow,ngày kia,1
7-1,12,大安,Dà’ān,,"Da-an (name of a KTV named after a district in Taipei, where Shida is also located.)",Đại An (tên một quán Karaoke ở Đài Bắc),1
7-1,13,下次,xià cì,,next time,lần sau,1
7-1,14,沒問題,méi wèntí,,No problem.,Không vấn đề gì.,1
7-1,15,對了,duìle,,by the way,nhân tiện,1
7-1,16,有空,yǒu kòng,,to have free time,có thời gian rảnh,1
7-1,17,再見,zàijiàn,,Goodbye.,Tạm biệt.,1
7-2,1,在,zài,Vs,progressive aspect verb;in the process of doing something,đang (tiếp diễn),1
7-2,2,午餐,wǔcān,N,lunch,bữa trưa,1
7-2,3,剛,gāng,Adv,just now,vừa mới,1
7-2,4,下課,xiàkè,V-sep,to finish class,tan học,1
7-2,5,下午,xiàwǔ,N,afternoon,buổi chiều,1
7-2,6,半,bàn,N,half,một nửa,1
7-2,7,比賽,bǐsài,N,"game, competition","trò chơi, cuộc thi",1
7-2,8,結束,jiéshù,Vp,to finish,kết thúc,1
7-2,9,最近,zuìjìn,N,"recently, lately",gần đây,1
7-2,10,忙,máng,Vs,busy,bận,1
7-2,11,每,měi,Det,"every, each","mỗi, mọi",1
7-2,12,天,tiān,M,Measure word for day,lượng từ cho ngày,1
7-2,13,書法,shūfǎ,N,calligraphy,thư pháp,1
7-2,14,課,kè,N,class,lớp học,1
7-2,15,開始,kāishǐ,Vp,"to begin, to start",bắt đầu,1
7-2,16,字,zì,N,character,chữ Hán,1
7-2,17,寫,xiě,V,to write,viết,1
7-2,18,可以,kěyǐ,Vaux,may (permission),có thể (xin phép),1
7-2,19,問,wèn,V,to ask,hỏi,1
7-2,20,等一下,děng yíxià,,later,đợi một chút,1
7-2,21,有事,yǒu shì,,to be busy; to be engaged,có việc bận,1
7-2,22,有意思,yǒu yìsi,,"to be interesting, to be fun","thú vị, vui",1
8-1,1,坐,zuò,V,"to take by, to travel by",đi bằng (phương tiện),1
8-1,2,火車,huǒchē,N,train,tàu hỏa,1
8-1,3,跟,gēn,Prep,with,với,1
8-1,4,玩,wán,V,to have fun,vui chơi,1
8-1,5,怎麼,zěnme,Adv,how,như thế nào,1
8-1,6,慢,màn,Vs,slow,chậm,1
8-1,7,鐘頭,zhōngtóu,N,hour,giờ đồng hồ,1
8-1,8,比較,bǐjiào,Adv,(comparatively) more,(một cách) hơn,1
8-1,9,快,kuài,Vs,fast,nhanh,1
8-1,10,車票,chēpiào,N,"(train , bus) ticket","vé (tàu, xe buýt)",1
8-1,11,非常,fēicháng,Adv,very,rất,1
8-1,12,但是,dànshì,Conj,"but, however","nhưng, tuy nhiên",1
8-1,13,又,yòu,Adv,both…and…,vừa... vừa...,1
8-1,14,舒服,shūfú,Vs,comfortable,thoải mái,1
8-1,15,站,zhàn,N,station,"ga, trạm",1
8-1,16,或是,huòshì,Conj,or,hoặc là,1
8-1,17,臺南,Táinán,,a city in southwestern Taiwan,một thành phố ở tây nam Đài Loan,1
8-1,18,高鐵,gāotiě,,High Speed Rail(HSR),Đường sắt cao tốc (HSR),1
8-1,19,網路上,wǎnglù shàng,,on the Internet,trên mạng Internet,1
8-1,20,便利商店,biànlì shāngdiàn,,convenience store,cửa hàng tiện lợi,1
8-2,1,同學,tóngxué,N,classmate,bạn cùng lớp,1
8-2,2,參觀,cānguān,V,to visit (an institution),tham quan (một cơ sở),1
8-2,3,古代,gǔdài,N,ancient times,thời cổ đại,1
8-2,4,騎,qí,V,to ride,cưỡi,1
8-2,5,機車,jīchē,N,"motorcycle, scooter",xe máy,1
8-2,6,載,zài,V,"to give someone a ride (on/in vehicle, e.g. motorcycle, bicycle or car)","cho ai đó đi nhờ (trên xe máy, xe đạp hoặc ô tô)",1
8-2,7,捷運,jiéyùn,N,MRT,Tàu điện ngầm (MRT),1
8-2,8,比,bǐ,Prep,(more…) than,(hơn...) so với,1
8-2,9,故宮博物院（故宮）,Gùgōng Bówùyuàn,,National Palace Museum,Bảo tàng Cung điện Quốc gia,1
8-2,10,中國,Zhōngguó,,China,Trung Quốc,1
8-2,11,公共汽車（公車）,gōnggòng ,,bus,xe buýt,1
8-2,12,不行,bù xíng,,will not do,không được,1
8-2,13,計程車,jìchéngchē,,taxi,taxi,1
8-2,14,差不多,chābùduō,,about the same,gần như giống nhau,1
9-1,1,星期+number,xīngqí,N,week,tuần + số,1
9-1,2,回國,huíguó,V-sep,to return to one’s country,về nước,1
9-1,3,打算,dǎsuàn,Vaux,to plan to,dự định,1
9-1,4,電視,diànshì,N,TV,TV,1
9-1,5,影片,yǐngpiàn,N,film,phim,1
9-1,6,旅行,lǚxíng,Vi,to travel,du lịch,1
9-1,7,功課,gōngkè,N,homework,bài tập về nhà,1
9-1,8,出去,chūqù,Vi,to go out,đi ra ngoài,1
9-1,9,大概,dàgài,Adv,"approximately, about , probably","khoảng, chừng, có lẽ",1
9-1,10,放假,fàngjià,,to have a holiday,nghỉ lễ,1
9-1,11,下個星期,xià ge xīngqí,,next week,tuần sau,1
9-1,12,有時候,yǒu shíhòu,,sometimes,đôi khi,1
9-1,13,多久,duō jiǔ,,how long,bao lâu,1
9-1,14,臺東,Táidōng,,name of one of the major cities on the southeastern coast of Taiwan,tên một thành phố lớn trên bờ biển đông nam Đài Loan,1
9-2,1,女+noun,nǚ ,N,"girl-, female-",nữ + danh từ,1
9-2,2,number+月,yuè,N,month of a year,tháng + số,1
9-2,3,number+號,hào,N,"date, day of a month",ngày + số,1
9-2,4,帶,dài,V,to take ,mang theo,1
9-2,5,她,tā,N,"she, her","cô ấy, chị ấy",1
9-2,6,還,hái,Adv,"still, additionally","vẫn, thêm nữa",1
9-2,7,建議,jiànyì,N,suggestion,"đề nghị, gợi ý",1
9-2,8,夜市,yèshì,N,night market,chợ đêm,1
9-2,9,應該,yīnggāi,Vaux,should,nên,1
9-2,10,逛,guàng,V,"to wander around, to look around","đi dạo, ngắm nghía",1
9-2,11,特別,tèbié,Vs,special,đặc biệt,1
9-2,12,茶館,cháguǎn,N,tea house,quán trà,1
9-2,13,決定,juédìng,Vp,to decide,quyết định,1
9-2,14,要是,yàoshì,Conj,if,nếu,1
9-2,15,就,jiù,Adv,then,thì,1
9-2,16,貓空,Māokōng,,name of a must-see place in Taipei to visit for fine tea and scenery,tên một địa điểm nổi tiếng ở Đài Bắc để thưởng trà và ngắm cảnh,1
10-1,1,水果,shuǐguǒ,N,fruit,trái cây,1
10-1,2,黃色,huángsè,N,yellow,màu vàng,1
10-1,3,芒果,mángguǒ,N,mango,xoài,1
10-1,4,給,gěi,V,to give,"cho, tặng",1
10-1,5,塊,kuài,M,"a measure for pieces of food (e.g., meat, cake) ","lượng từ cho miếng thức ăn (ví dụ: thịt, bánh)",1
10-1,6,香,xiāng,Vs,fragrant,thơm,1
10-1,7,甜,tián,Vs,sweet (taste),ngọt (vị),1
10-1,8,紅色,hóngsè,N,red,màu đỏ,1
10-1,9,西瓜,xīguā,N,watermelon,dưa hấu,1
10-1,10,吧,ba,Ptc,Sentence-final particle for guessing,trợ từ cuối câu để phỏng đoán,1
10-1,11,對,duì,Vs,"correct, right",đúng,1
10-1,12,以前,yǐqián,N,before,trước đây,1
10-1,13,機會,jīhuì,N,opportunity,cơ hội,1
10-1,14,請,qǐng,V,to treat sb to sth,đãi ai cái gì,1
10-1,15,吃吃看,chīchīkàn,,"to have a taste, try it, taste it",nếm thử,1
10-2,1,拍,pāi,V,to take (pictures),chụp (ảnh),1
10-2,2,笑,xiào,V,"to laugh, to smile",cười,1
10-2,3,開心,kāixīn,Vs,happy,vui vẻ,1
10-2,4,穿,chuān,V,"to wear, to put on","mặc, mang",1
10-2,5,衣服,yīfú,N,clothes,quần áo,1
10-2,6,旅館,lǚguǎn,N,hotel,khách sạn,1
10-2,7,太太,tàitai,N,wife,vợ,1
10-2,8,男+noun,nán,N,"boy-, male-",nam + danh từ,1
10-2,9,矮,ǎi,Vs,short (height),thấp (chiều cao),1
10-2,10,高,gāo,Vs,tall,cao,1
10-2,11,弟弟,dìdi,N,younger brother,em trai,1
10-2,12,乾淨,gānjìng,Vs,clean,sạch sẽ,1
10-2,13,窗戶,chuānghù,N,window,cửa sổ,1
10-2,14,往,wǎng,Prep,"toward, to","hướng về, tới",1
10-2,15,藍色,lánsè,N,blue,màu xanh lam,1
10-2,16,因為,yīnwèi,Conj,because,bởi vì,1
10-2,17,住,zhù,V,to stay,ở,1
10-2,18,上個月,shàng ge yuè,,last month,tháng trước,1
10-2,19,這些,zhèxiē,,these,những cái này,1
11-1,1,租,zū,V,to rent,thuê,1
11-1,2,房東,fángdōng,N,landlord,chủ nhà,1
11-1,3,客廳,kètīng,N,living room,phòng khách,1
11-1,4,廚房,chúfáng,N,kitchen,nhà bếp,1
11-1,5,左邊,zuǒbiān,N,left（side）,bên trái,1
11-1,6,右邊,yòubiān,N,right（side）,bên phải,1
11-1,7,浴室,yùshì,N,bathroom,phòng tắm,1
11-1,8,超市,chāoshì,N,supermarket,siêu thị,1
11-1,9,走路,zǒulù,V-sep,to walk,đi bộ,1
11-1,10,分鐘,fēnzhōng,M,measure word for minutes,lượng từ cho phút,1
11-1,11,就,jiù,Adv,"only, merely","chỉ, đơn thuần",1
11-1,12,到,dào,Vp,arrive,đến nơi,1
11-1,13,間,jiān,M,"measure word for houses, rooms, etc.","lượng từ cho nhà cửa, phòng ốc, v.v.",1
11-1,14,空,kōng,Vs,"vacant , empty","trống, rỗng",1
11-1,15,房間,fángjiān,N,room,phòng,1
11-1,16,套房,tàofáng,N,suite,căn hộ,1
11-1,17,回去,huíqù,Vi,"to go back, to return","trở về, quay lại",1
11-1,18,想,xiǎng,V,to think,nghĩ,1
11-1,19,再,zài,Adv,and then,rồi thì,1
11-1,20,電話,diànhuà,N,telephone,điện thoại,1
11-1,21,給,gěi,Prep,to,"cho, tới",1
11-1,22,林,lín,N,"Chinese last name, common in Taiwan ",họ Lâm (họ phổ biến ở Đài Loan),1
11-1,23,打電話,dǎ diànhuà,,to make a phone call,gọi điện thoại,1
11-2,1,喂,wéi,Ptc,"a particle used in addressing people, especially over the phone","này (dùng để gọi, đặc biệt qua điện thoại)",1
11-2,2,房租,fángzū,N,rent (for a room or a house),tiền thuê nhà,1
11-2,3,已經,yǐjīng,Adv,already ,đã,1
11-2,4,習慣,xíguàn,Vs,"to get settled down, to get used to","quen, thích nghi",1
11-2,5,問題,wèntí,N,"problem,question","vấn đề, câu hỏi",1
11-2,6,熱水器,rèshuǐqì,N,water heater,bình nóng lạnh,1
11-2,7,好像,hǎoxiàng,Adv,"to seem to be, to appear to be (often used to take the edge off of a comment)","có vẻ như, dường như (thường dùng để giảm nhẹ ý kiến)",1
11-2,8,會,huì,Vaux,will,sẽ,1
11-2,9,等,děng,V,to wait for,đợi,1
11-2,10,那,nà,Ptc,"then, in that case","vậy thì, trong trường hợp đó",1
11-2,11,裝,zhuāng,V,to install,lắp đặt,1
11-2,12,不過,búguò,Conj,"however, but","tuy nhiên, nhưng",1
11-2,13,付,fù,V,to pay,trả tiền,1
11-2,14,收到,shōudào  ,,to receive,nhận được,1
11-2,15,不好意思,bùhǎo yìsi,,sorry,xin lỗi,1
11-2,16,沒關係,méi guānxi,,Not a problem,Không sao đâu.,1
11-2,17,有線電視,yǒuxiàn diànshì,,cable TV,truyền hình cáp,1
12-1,1,計畫,jìhuà,V,to plan to,lên kế hoạch,1
12-1,2,年,nián,M,measure word for year,lượng từ cho năm,1
12-1,3,久,jiǔ,Vs,long (time),lâu (thời gian),1
12-1,4,時間,shíjiān,N,time,thời gian,1
