課-序號,序號,生詞,漢拼,詞類,越譯,泰譯,緬譯,日譯,韓譯,韓譯,冊
2-2,1,田中誠一,Tiánzhōng Chéngyī,,đàn ông Nhật Bản,ผู้ชายญี่ปุ่น (phu chai yi pun),ဂျပန်အမျိုးသား (ja pan a myo tha),日本人の男性 (nihonjin no dansei),일본 남자 (ilbon namja),,1
2-2,2,伯母,bómǔ,N,cô / dì / bác gái,น้า / ป้า (na / pa),အဒေါ် (a daw),おばさん (obasan),아주머니 (ajumeoni),,1
2-2,3,您,nín,N,Ngài / Ông / Bà,ท่าน (than),ခင်ဗျား / ရှင် (khin byar / shin),あなた様 (anatasama),선생님 / 당신 (seonsaengnim / dangsin),,1
2-2,4,名字,míngzi,N,tên,ชื่อ (chue),နာမည် (nar mal),名前 (namae),이름 (ireum),,1
2-2,5,書,shū,N,sách,หนังสือ (nang sue),စာအုပ် (sar oke),本 (hon),책 (chaek),,1
2-2,6,哥哥,gēge,N,anh trai,พี่ชาย (phee chai),အစ်ကို (a ko),お兄さん (onīsan),오빠 / 형 (oppa / hyeong),,1
2-2,7,老師,lǎoshī,N,giáo viên,ครู / อาจารย์ (khru / a chan),ဆရာ (sa yar),先生 (sensei),선생님 (seonsaengnim),,1
2-2,8,看書,kànshū,V-sep,đọc,อ่าน (an),ဖတ်သည် (phat thi),読む (yomu),읽다 (ikda),,1
2-2,9,幾,jǐ,N,bao nhiêu,กี่ (kee),ဘယ်လောက် (bal lauk),いくつ (ikutsu),몇 (myeot),,1
2-2,10,個,ge,M,cái / con,อัน / ตัว (an / tua),ခု (ku),個 (ko),개 (gae),,1
2-2,11,沒,méi,Adv,không,ไม่ (mai),မ (ma),～ない (nai),아니다 / 안 (anida / an),,1
2-2,12,兄弟,xiōngdì,N,anh em trai,พี่น้องผู้ชาย (phee nong phu chai),ညီအစ်ကို (nyi a ko),兄弟 (kyōdai),남자 형제 (namja hyeongje),,1
2-2,13,姐妹,jiěmèi,N,chị em gái,พี่น้องผู้หญิง (phee nong phu ying),ညီအစ်မ (nyi a ma),姉妹 (shimai),여자 형제 (yeoja hyeongje),,1
2-2,14,五,wǔ,N,năm,ห้า (ha),ငါး (ngar),五 (go),오 / 다섯 (o / daseot),,1
2-2,15,兩,liǎng,N,hai,สอง (song),နှစ် (hnit),二 (ni),이 / 둘 (i / dul),,1
3-1,1,週末,zhōumò,N,cuối tuần,สุดสัปดาห์ (sut sap da),ပိတ်ရက် (pate yat),週末 (shūmatsu),주말 (jumal),,1
3-1,2,聽,tīng,V,nghe,ฟัง (fang),နားထောင်သည် (nar htaung thi),聞く (kiku),듣다 (deutda),,1
3-1,3,音樂,yīnyuè,N,âm nhạc,ดนตรี / เพลง (don tree / phleng),သီချင်း (thi chin),音楽 (ongaku),음악 (eumak),,1
3-1,4,運動,yùndòng,Vi,tập thể dục,ออกกำลังกาย (ok kam lang kai),လေ့ကျင့်ခန်းလုပ်သည် (lay kyin khan loke thi),運動する (undō suru),운동하다 (undonghada),,1
3-1,5,打,dǎ,V,chơi (bóng),เล่น (บอล) (len bon),ကစားသည် (ka sar thi),（球技を）する (kyūgi o suru),(공놀이를) 하다 (gongnori-reul hada),,1
3-1,6,網球,wǎngqiú,N,quần vợt,เทนนิส (then nit),တင်းနစ် (ten nis),テニス (tenisu),테니스 (teniseu),,1
3-1,7,棒球,bàngqiú,N,bóng chày,เบสบอล (bet bon),ဘေ့စ်ဘော (base ball),野球 (yakyū),야구 (yagu),,1
3-1,8,和,hàn,Conj,"và, cũng như",และ (lae),နှင့် (nin),と (to),그리고 / ~와/과 (geurigo / wa/gwa),,1
3-1,9,游泳,yóuyǒng,V-sep,bơi,ว่ายน้ำ (wai nam),ရေကူးသည် (yay ku thi),泳ぐ (oyogu),수영하다 (suyeonghada),,1
3-1,10,常,cháng,Adv,thường,บ่อย (boi),မဲ (mal),よく (yoku),종종 / 자주 (jongjong / jaju),,1
3-1,11,籃球,lánqiú,N,bóng rổ,บาสเกตบอล (bat ket bon),ဘတ်စကက်ဘော (bas ket ball),バスケットボール (basukettobōru),농구 (nonggu),,1
3-1,12,也,yě,Adv,cũng,ก็...ด้วย (ko duai),လည်း (lal),も (mo),도 (do),,1
3-1,13,踢,tī,V,đá,เตะ (te),ကန်သည် (kan thi),蹴る (keru),차다 (chada),,1
3-1,14,足球,zúqiú,N,bóng đá,ฟุตบอล (fut bon),ဘောလုံး (baw lone),サッカー (sakkā),축구 (chukgu),,1
3-1,15,覺得,juéde,Vst,cảm thấy / nghĩ,รู้สึก / คิดว่า (ru suek / khit wa),ထင်သည် (htin thi),感じる / 思う (kanjiru / omou),느끼다 / 생각하다 (neukkida / saenggakhada),,1
3-1,16,好玩,hǎowán,Vs,thú vị / vui,น่าสนใจ / สนุก (na son jai / sa nuk),စိတ်ဝင်စားစရာ (sate win sar sa yar),面白い (omoshiroi),재미있다 (jaemiitda),,1
3-1,17,明天,míngtiān,N,ngày mai,พรุ่งนี้ (phrung nee),မနက်ဖြန် (ma net phan),明日 (ashita),내일 (naeil),,1
3-1,18,早上,zǎoshàng,N,buổi sáng,ตอนเช้า (ton chao),မနက် (ma net),朝 (asa),아침 (achim),,1
3-1,19,去,qù,V,đi,ไป (pai),သွားသည် (thwar thi),行く (iku),가다 (gada),,1
3-1,20,怎麼樣,zěnmeyàng,Vs,Thế nào? Bạn nghĩ sao?,เป็นยังไงบ้าง (pen yang ngai bang),ဘယ်လိုလဲ (bal lo lal),どうですか (dō desu ka),어때요? (eottaeyo),,1
3-1,21,啊,a,Ptc,trợ từ cuối câu,คำลงท้าย (kham long thai),ဝါကျအဆုံးသတ်ပစ္စည်း (war kya a sone that pyit see),終助詞 (shūjoshi),종결 어미 (jonggyeol eomi),,1
3-1,22,做什麼,zuò shénme,,làm gì,ทำอะไร (tham a rai),ဘာလုပ် (bar loke),何をする (nani o suru),무엇을 하다 (mueoseul hada),,1
3-1,23,好啊,Hǎo a,,được / OK,โอเค (o khe),ဟုတ်ကဲ့ (hoke kae),OK / いいですよ (OK / ii desu yo),괜찮다 / 오케이 (gwaenchanta / okei),,1
3-2,1,白如玉,Bái Rúyù,,phụ nữ Mỹ,ผู้หญิงอเมริกัน (phu ying a me ri kan),အမေရိကန်အမျိုးသမီး (a may ri kan a myo tha mee),アメリカ人の女性 (amerikajin no josei),미국 여자 (miguk yeoja),,1
3-2,2,今天,jīntiān,N,hôm nay,วันนี้ (wan nee),ဒီနေ့ (de nay),今日 (kyō),오늘 (oneul),,1
3-2,3,晚上,wǎnshàng,N,buổi tối / đêm,ตอนเย็น / กลางคืน (ton yen / klang khuen),ည (nya),晩 / 夜 (ban / yoru),저녁 / 밤 (jeonyeok / bam),,1
3-2,4,看,kàn,V,xem / nhìn,ดู / มอง (du / mong),ကြည့်သည် (kyi thi),見る (miru),보다 (boda),,1
3-2,5,電影,diànyǐng,N,phim,หนัง (nang),ရုပ်ရှင် (yoke shin),映画 (eiga),영화 (yeonghwa),,1
3-2,6,妳,nǐ,N,bạn (nữ) / chị / cô,คุณ (khun),ရှင် (shin),あなた (anata),당신 (dangsin),,1
3-2,7,想,xiǎng,Vaux,muốn / nghĩ,อยาก / คิด (yak / khit),ချင် / ထင် (chin / htin),欲しい / 思う (hoshii / omou),원하다 / 생각하다 (wonhada / saenggakhada),,1
3-2,8,還是,háishì,Conj,hay là,หรือ (rue),သို့မဟုတ် (thoe ma hoke),または / か (matawa / ka),아니면 / ~나 (animyeon / na),,1
3-2,9,吧,ba,Ptc,nhé / đi,นะ / เถอะ (na / thoe),ပါ (par),～ましょう (mashō),~자 / ~까요 (ja / kkayo),,1
3-2,10,可以,kěyǐ,Vaux,có thể,อาจจะ (at cha),ဖြစ်နိုင်သည် (pyit naing thi),～かもしれない (kamoshirenai),~할 수 있다 (hal su itda),,1
3-2,11,學,xué,V,học,เรียน (rian),သင်ယူသည် (thin yu thi),学ぶ / 勉強する (manabu / benkyō suru),배우다 / 공부하다 (baeuda / gongbuhada),,1
3-2,12,中文,Zhōngwén,N,tiếng Trung,ภาษาจีน (pha sa jeen),တရုတ်စာ (ta yoke sar),中国語 (chūgokugo),중국어 (junggugeo),,1
3-2,13,一起,yìqǐ,Adv,cùng nhau,ด้วยกัน (duai kan),အတူတူ (a tu tu),一緒に (issho ni),함께 / 같이 (hamkke / gachi),,1
3-2,14,吃,chī,V,ăn,กิน / ทาน (kin / than),စားသည် (sar thi),食べる (taberu),먹다 (meokda),,1
3-2,15,晚飯,wǎnfàn,N,bữa tối,อาหารเย็น (a han yen),ညစာ (nya sar),夕食 (yūshoku),저녁 식사 (jeonyeok siksa),,1
3-2,16,菜,cài,N,ẩm thực / món ăn,อาหาร (a han),အစားအစာ (a sar a sar),料理 (ryōri),요리 (yori),,1
3-2,17,越南,Yuènán,,Việt Nam,เวียดนาม (wiat nam),ဗီယက်နမ် (viet nam),ベトナム (betonamu),베트남 (beteunam),,1
3-2,18,好不好,hǎo bù hǎo,,...thì sao?,...เป็นไงบ้าง (pen ngai bang),ဘယ်လိုလဲ (bal lo lal),～はどうですか (wa dō desu ka),~는 어때요? (neun eottaeyo),,1
4-1,1,一共,yígòng,Adv,tổng cộng,ทั้งหมด (thang mot),စုစုပေါင်း (su su paung),合計 (gōkei),모두 합쳐서 (modu hapchyeoseo),,1
4-1,2,多少,duōshǎo,N,bao nhiêu,เท่าไหร่ (thao rai),ဘယ်လောက် (bal lauk),いくら (ikura),얼마 (eolma),,1
4-1,3,錢,qián,N,tiền,เงิน (ngoen),ပိုက်ဆံ (pike san),お金 (okane),돈 (don),,1
4-1,4,老闆,lǎobǎn,N,ông chủ,เจ้าของร้าน (chao khong ran),သူဌေး (tha htay),店主 / 上司 (tenshu / jōshi),주인 / 사장님 (juin / sajangnim),,1
4-1,5,買,mǎi,V,mua,ซื้อ (sue),ဝယ်သည် (wal thi),買う (kau),사다 (sada),,1
4-1,6,杯,bēi,M,cốc / ly,ถ้วย / แก้ว (thuai / kaeo),ခွက် (khwet),カップ / 杯 (kappu / hai),컵 / 잔 (keop / jan),,1
4-1,7,熱,rè,Vs,nóng,ร้อน (ron),ပူသည် (pu thi),熱い (atsui),뜨겁다 (tteugeopda),,1
4-1,8,包子,bāozi,N,bánh bao thịt,ซาลาเปาไส้หมู (sa la pao sai mu),ပေါက်စီ (pauk si),肉まん (nikuman),고기 만두 (gogi mandu),,1
4-1,9,要,yào,V,cần / muốn,ต้องการ (tong kan),လိုချင်သည် (lo chin thi),要る / 欲しい (iru / hoshii),필요하다 (piryohada),,1
4-1,10,大,dà,Vs,lớn,ใหญ่ (yai),ကြီး (kyi),大きい (ōkii),크다 / 대 (keuda / dae),,1
4-1,11,中,zhōng,Vs-attr,vừa,กลาง (klang),အလယ် (a lal),中 (chū),중간 / 중 (junggan / jung),,1
4-1,12,小,xiǎo,Vs,nhỏ,เล็ก (lek),ငယ် (ngal),小さい (chīsai),작다 / 소 (jakda / so),,1
4-1,13,幫,bāng,Prep,cho,สำหรับ (sam rap),အတွက် (a twet),～のために (no tame ni),~을 위해 (eul wihae),,1
4-1,14,微波,wéibō,V,quay lò vi sóng,อุ่นไมโครเวฟ (un mai khro wep),မိုက်ခရိုဝေ့ဖ်ဖြင့်နွှေးသည် (micro wave phyint nway thi),電子レンジで温める (denshirenji de atatameru),전자레인지에 데우다 (jeonjareinjie deuda),,1
4-1,15,百,bǎi,N,trăm,ร้อย (roi),ရာ (yar),百 (hyaku),백 (baek),,1
4-1,16,塊,kuài,M,tệ,หยวน (yuan),ယွမ် (yuan),元 (gen),위안 (wian),,1
4-1,17,好的,hǎode,,được,โอเค (o khe),ဟုတ်ကဲ့ (hoke kae),OK (OK),오케이 (okei),,1
4-1,18,外帶,wàidài,,mang đi,กลับบ้าน (klap ban),ပါဆယ် (par sal),持ち帰り (mochikaeri),포장하다 (pojanghada),,1
4-1,19,內用,nèiyòng,,ăn tại chỗ,ทานที่นี่ (than thee nee),ဆိုင်မှာစားသည် (saing hmar sar thi),店内で (tennai de),먹고 가다 (meokgo gada),,1
4-2,1,支,zhī,M,cái (lượng từ),เครื่อง (khrueang),လုံး (lone),台 (dai),대 (dae),,1
4-2,2,新,xīn,Vs,mới,ใหม่ (mai),သစ် (thit),新しい (atarashii),새롭다 (saeropda),,1
4-2,3,手機,shǒujī,N,điện thoại di động,มือถือ (mue thue),ဖုန်း (phone),携帯電話 (keitai denwa),휴대전화 / 핸드폰 (hyudaejeonhwa / haendeupon),,1
4-2,4,太,tài,Adv,quá / cũng,เกินไป / ก็ (koen pai / ko),သိပ် / လည်း (thate / lal),～すぎる / も (sugiru / mo),너무 / ~도 (neomu / do),,1
4-2,5,舊,jiù,Vs,cũ,เก่า (kao),ဟောင်း (haung),古い (furui),낡은 / 오래된 (nalgeun / oraedoen),,1
4-2,6,了,le,Ptc,chứ / mà,...นะ (na),ပေါ့ (paw),～よ (yo),~지요 (jiyo),,1
4-2,7,種,zhǒng,M,loại,ชนิด (cha nit),အမျိုးအစား (a myo a sar),種類 (shurui),종류 (jongnyu),,1
4-2,8,能,néng,Vaux,có thể,สามารถ / ได้ (sa mat / dai),နိုင်သည် (naing thi),できる (dekiru),할 수 있다 (hal su itda),,1
4-2,9,上網,shàngwǎng,V-sep,lên mạng,เล่นอินเทอร์เน็ต (len in thoe net),အင်တာနက်သုံးသည် (internet thone thi),インターネットをする (intānetto o suru),인터넷을 하다 (inteonet-eul hada),,1
4-2,10,那,nà/nèi,Det,cái đó,นั่น (nan),ဟို (ho),あれ (are),그것 / 저것 (geugeot / jeogeot),,1
4-2,11,貴,guì,Vs,đắt,แพง (phaeng),ဈေးကြီး (zay kyi),高い (takai),비싸다 (bissada),,1
4-2,12,賣,mài,V,bán,ขาย (khai),ရောင်းသည် (yaung thi),売る (uru),팔다 (palda),,1
4-2,13,便宜,piányí,Vs,rẻ,ถูก (thuk),ဈေးပေါ (zay paw),安い (yasui),싸다 (ssada),,1
4-2,14,要,yào,Vst,tốn / mất (thời gian),ใช้ (เวลา) (chai),ကြာသည် (kyar thi),かかる (kakaru),걸리다 (geollida),,1
4-2,15,萬,wàn,N,mười nghìn (vạn),หมื่น (muen),သောင်း (thaung),一万 (ichiman),만 (man),,1
4-2,16,千,qiān,N,nghìn,พัน (phan),ထောင် (htaung),千 (sen),천 (cheon),,1
4-2,17,為什麼,wèishénme,,tại sao,ทำไม (tham mai),ဘာလို့ (bar lo),なぜ (naze),왜 (wae),,1
5-1,1,牛肉,niúròu ,N ,thịt bò,เนื้อวัว (nuea wua),အမဲသား (a mal thar),牛肉 (gyūniku),소고기 (sogogi),,1
5-1,2,麵,miàn,N,mì,ก๋วยเตี๋ยว (kuai tiao),ခေါက်ဆွဲ (khauk swal),麺 (men),국수 (guksu),,1
5-1,3,真,zhēn,Adv,thật sự,จริงๆ (jing jing),တကယ် (ta kal),本当に (hontō ni),정말 (jeongmal),,1
5-1,4,好吃,hǎochī,Vs,ngon,อร่อย (a roi),စားကောင်း (sar kaung),美味しい (oishii),맛있다 (masitda),,1
5-1,5,說,shuō,V,nói,พูด (phut),ပြောသည် (pyaw thi),言う (iu),말하다 (malhada),,1
5-1,6,少,shǎo,Vs-pred,ít,น้อย (noi),နည်း (nee),少ない (sukunai),적다 (jeokda),,1
5-1,7,有名,yǒumíng,Vs,nổi tiếng,มีชื่อเสียง (mee chue siang),နာမည်ကြီး (nar mal kyi),有名 (yūmei),유명하다 (yumyeonghada),,1
5-1,8,小吃,xiǎochī,N,đồ ăn nhẹ,ของว่าง (khong wang),သရေစာ (tha yay sar),軽食 (keishoku),간식 (gansik),,1
5-1,9,最,zuì,Adv,nhất,ที่สุด (thee sut),အ...ဆုံး (a...sone),一番 (ichiban),가장 / 제일 (gajang / jeil),,1
5-1,10,湯,tāng,N,canh / súp,ซุป / แกงจืด (sup / kaeng chuet),ဟင်းရည် (hin yay),スープ (sūpu),국 / 스프 (guk / seupeu),,1
5-1,11,這麼,zhème ,Adv,vì vậy,ดังนั้น (dang nan),ဒါကြောင့် (dar kyaung),だから (dakara),그래서 (geuraeseo),,1
5-1,12,知道,zhīdào,Vst,biết,รู้ (ru),သိသည် (thi thi),知る (shiru),알다 (alda),,1
5-1,13,家,jiā,M,lượng từ (nhà hàng),ร้าน / แห่ง (ran / haeng),ဆိုင် (saing),軒 (ken),곳 / 군데 (got / gunde),,1
5-1,14,店,diàn,N,cửa hàng,ร้านค้า (ran kha),ဆိုင် (saing),店 (mise),가게 (gage),,1
