課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
2-2,13.     ,東部,dōngbù ,N,eastern part,miền đông,2
2-2,14.     ,海邊,hǎibiān ,N,seaside,bờ biển,2
2-2,15.     ,島,dǎo ,N,island,đảo,2
2-2,16.     ,搭,dā ,V,"to take (bus, boat, plane, taxi, etc.)","đi (xe buýt, thuyền, máy bay, taxi, v.v.)",2
2-2,17.     ,船,chuán ,N,"boat, ship","thuyền, tàu",2
2-2,18.     ,地,de,Ptc,adverbial particle,trợ từ trạng ngữ,2
2-2,19.     ,美美,Měiměi,,"Meimei, name of a girl",Mỹ Mỹ (tên một bé gái),2
2-2,20.     ,法國,Fǎguó ,,France,Pháp,2
2-2,21.     ,歐洲,ōuzhōu ,,Europe,Châu Âu,2
2-2,22.     ,悠遊卡,yōuyóukǎ ,,EasyCard (MRT pass),Thẻ EasyCard (thẻ MRT),2
2-2,23.     ,綠島,Lǜdǎo ,,"Green Island, to the southeast of the main island",Đảo Lục (Green Island),2
2-2,24.     ,東南邊,dōngnán biān ,,the southeast side of,phía đông nam,2
2-2,25.     ,好好地,hǎohǎo de ,,to do something properly,làm gì đó một cách đàng hoàng,2
3-1,1.     ,進步,jìnbù ,Vp,"to make improvement, to progress",tiến bộ,2
3-1,2.     ,早,zǎo ,Vs,early,sớm,2
3-1,3.     ,考試,kǎoshì ,N,"a test, examination","bài kiểm tra, kỳ thi",2
3-1,4.     ,準備,zhǔnbèi ,V,"to prepare, to get ready",chuẩn bị,2
3-1,5.     ,考,kǎo,V,to take a test,thi,2
3-1,6.     ,聽寫,tīngxiě ,N,dictation,chính tả,2
3-1,7.     ,容易,róngyì ,Vs,easy,dễ dàng,2
3-1,8.     ,小學,xiǎoxué ,N,elementary school,trường tiểu học,2
3-1,9.     ,漢字,hànzì ,N,Chinese characters,chữ Hán,2
3-1,10.  ,高中,gāozhōng ,N,senior high school,trường trung học phổ thông,2
3-1,11.  ,過,guò,Ptc,a particle indicating experience,trợ từ chỉ kinh nghiệm,2
3-1,12.  ,才,cái ,Adv,"just, only","mới, chỉ",2
3-1,13.  ,說話,shuōhuà,V-sep,to speak,nói chuyện,2
3-1,14.  ,不夠,bú gòu ,Adv,"not quite, not…enough",không đủ,2
3-1,15.  ,流利,liúlì ,Vs,fluent,trôi chảy,2
3-1,16.  ,雖然,suīrán ,Conj,although,mặc dù,2
3-1,17.  ,環境,huánjìng ,N,"environment, surroundings","môi trường, xung quanh",2
3-1,18.  ,同意,tóngyì ,Vst,to agree with,đồng ý với,2
3-1,19.  ,報紙,bàozhǐ ,N,newspapers,báo,2
3-1,20.  ,麵包,miànbāo ,N,bread,bánh mì,2
3-1,21.  ,演講,yǎnjiǎng ,N,"a speech, a public lecture","bài diễn văn, bài thuyết trình",2
3-1,22.  ,噢,òu,Ptc,Oh,Ồ,2
3-1,23.  ,活動中心,huódòng zhōngxīn ,,activity center,trung tâm hoạt động,2
3-1,24.  ,想起來,xiǎng qǐlái ,,to have remembered,nhớ ra,2
3-2,1.        ,選,xuǎn ,V,to select,chọn,2
3-2,2.        ,作業,zuòyè ,N,"homework, assignment",bài tập về nhà,2
3-2,3.        ,練習,liànxí ,V,to practice,luyện tập,2
3-2,4.        ,半夜,bànyè ,N,"middle of the night, late at night",nửa đêm,2
3-2,5.        ,高興,gāoxìng ,Vs,"glad, pleased","vui mừng, hài lòng",2
3-2,6.        ,平常,píngcháng ,Adv,usually,thường thường,2
3-2,7.        ,爬山,páshān ,V-sep,to go hiking,"đi bộ đường dài, leo núi",2
3-2,8.        ,認識,rènshì  ,Vpt,to get to know someone,làm quen với ai đó,2
3-2,9.        ,聊天,liáotiān ,V-sep,to have a chat,tán gẫu,2
3-2,10.     ,文化,wénhuà ,N,culture,văn hóa,2
3-2,11.     ,廣告,guǎnggào ,N,"advertisement, commercial",quảng cáo,2
3-2,12.     ,位,wèi ,M,Measure word for people (polite form),lượng từ cho người (lịch sự),2
3-2,13.     ,了解,liǎojiě ,Vst,to understand,hiểu,2
3-2,14.     ,生活,shēnghuó,N,life,cuộc sống,2
3-2,15.     ,陽明山,Yángmíng Shān ,,Yangming Mountain,Núi Dương Minh,2
3-2,16.     ,外國人,wàiguó rén ,,foreigner,người nước ngoài,2
3-2,17.     ,一些,yìxiē ,,"a little bit of, some, a fair amount of","một chút, một ít, một lượng kha khá",2
4-1,1.        ,高美玲,Gāo Měilíng ,,"Gao Meiling, a woman from France",Cao Mỹ Linh (một phụ nữ từ Pháp),2
4-1,2.        ,打工,dǎgōng  ,V-sep,to work part-time,làm việc bán thời gian,2
4-1,3.        ,主任,zhǔrèn ,N,director,giám đốc,2
4-1,4.        ,介紹,jièshào ,V,to introduce,giới thiệu,2
4-1,5.        ,歲,suì ,M,years of age,tuổi,2
4-1,6.        ,語言學,yǔyánxué ,N,linguistics,ngôn ngữ học,2
4-1,7.        ,經驗,jīngyàn ,N,experience,kinh nghiệm,2
4-1,8.        ,談,tán,V,"to talk over, to talk about , to discuss","nói chuyện, thảo luận",2
4-1,9.        ,當,dāng ,V,to serve as,"làm, phục vụ như là",2
4-1,10.     ,助教,zhùjiào ,N,teaching assistant,trợ giảng,2
4-1,11.     ,上午,shàngwǔ ,N,morning,buổi sáng (trước 12h),2
4-1,12.     ,除了,chúle ,Prep,"except for, other than",ngoại trừ,2
4-1,13.     ,年級,niánjí,N,grade (year in school),khối lớp (năm học),2
4-1,14.     ,暑假,shǔjià ,N,summer vacation,kỳ nghỉ hè,2
4-1,15.     ,請教,qǐngjiào ,V,"to ask, to inquire (polite form)","hỏi, thỉnh giáo (lịch sự)",2
4-1,16.     ,貴,guì ,Vs-attr,your (honorable),quý (kính ngữ),2
4-1,17.     ,薪水,xīnshuǐ ,N,pay,lương,2
4-1,18.     ,算,suàn ,V,to calculate,tính toán,2
4-1,19.     ,按照,ànzhào ,Prep,"based on, in accordance with","dựa trên, theo như",2
4-1,20.     ,教授,jiàoshòu ,N,professor,giáo sư,2
4-1,21.     ,鐘點費,zhōngdiǎn fèi ,N,hourly pay,tiền lương theo giờ,2
4-1,22.     ,份,fèn ,M,measure word for job,lượng từ cho công việc,2
4-1,23.     ,法文,Fǎwén ,,French language,tiếng Pháp,2
4-1,24.     ,亞洲,Yàzhōu ,,Asia,Châu Á,2
4-1,25.     ,西班牙語,Xībānyá yǔ ,,Spanish language,tiếng Tây Ban Nha,2
4-1,26.     ,英文,Yīngwén ,,English language,tiếng Anh,2
4-1,27.     ,三年級,sān niánjí,,grade three (school or university),năm thứ ba (đại học),2
4-2,1.        ,法律,fǎlǜ ,N,law,luật pháp,2
4-2,2.        ,夠,gòu ,Vs-pred,enough,đủ,2
4-2,3.        ,履歷表,lǚlìbiǎo ,N,resume,sơ yếu lý lịch,2
4-2,4.        ,面談,miàntán ,"Vi, N","to have an interview, interview","phỏng vấn, cuộc phỏng vấn",2
4-2,5.        ,華僑,Huáqiáo ,N,overseas Chinese,Hoa kiều,2
4-2,6.        ,辦公室,bàngōngshì,N,office,văn phòng,2
4-2,7.        ,談話,tánhuà ,V-sep,to talk,nói chuyện,2
4-2,8.        ,情形,qíngxíng ,N,situation,tình hình,2
4-2,9.        ,適合,shìhé ,Vst,suitable for,phù hợp với,2
4-2,10.     ,說明,shuōmíng ,V,to explain,giải thích,2
4-2,11.     ,然後,ránhòu ,Adv,"afterwards, and then","sau đó, rồi thì",2
4-2,12.     ,月底,yuèdǐ,N,the end of a month,cuối tháng,2
4-2,13.     ,發,fā ,V,to pay (wages),trả (lương),2
4-2,14.     ,馬上,mǎshàng ,Adv,immediately,ngay lập tức,2
4-2,15.     ,答應,dāyìng ,V,to accept,chấp nhận,2
4-2,16.     ,順利,shùnlì ,Vs,"to go, to proceed, smoothly","trôi chảy, suôn sẻ",2
4-2,17,黃,Huáng ,,"a common Chinese family name, literally “yellow”",họ Hoàng,2
4-2,18,沒想到,méi xiǎngdào ,,"unexpectedly, didn’t expect",không ngờ tới,2
5-1,1.        ,喜酒,xǐjiǔ ,N,"wedding banquet, wedding reception",tiệc cưới,2
5-1,2.        ,恭喜,gōngxǐ ,V,to congratulate,chúc mừng,2
5-1,3.        ,新娘,xīnniáng ,N,bride,cô dâu,2
5-1,4.        ,參加,cānjiā ,V,to attend,tham dự,2
5-1,5.        ,婚禮,hūnlǐ ,N,wedding ceremony,lễ cưới,2
5-1,6.        ,西裝,xīzhuāng ,N,a (western) suit,vest (phương Tây),2
5-1,7.        ,正式,zhèngshì ,Vs,formal,trang trọng,2
5-1,8.        ,客人,kèrén ,N,guest,khách,2
5-1,9.        ,手,shǒu ,N,hand,tay,2
5-1,10.     ,照相機,zhàoxiàngjī ,N,camera,máy ảnh,2
5-1,11.     ,新郎,xīnláng ,N,bridegroom,chú rể,2
5-1,12.     ,站,zhàn ,Vi,to stand,đứng,2
5-1,13.     ,白,bái ,Vs,white,màu trắng,2
5-1,14.     ,帥,shuài ,Vs,"handsome, good looking (of men)",đẹp trai (nam giới),2
5-1,15.     ,禮服,lǐfú ,N,formal attire,trang phục dự tiệc,2
5-1,16.     ,座位,zuòwèi ,N,seat,chỗ ngồi,2
5-1,17,看起來,kàn qǐlái,,"to look, it appears to me...",trông có vẻ,2
5-2,1.     ,結婚,jiéhūn ,Vp-sep,to get married to,kết hôn với,2
5-2,2.     ,日子,rìzi ,N,day,ngày,2
5-2,3.     ,親戚,qīnqī ,N,relatives,họ hàng,2
5-2,4.     ,熱鬧,rènào ,Vs,"to be boisterous, lively","nhộn nhịp, sôi động",2
5-2,5.     ,慶祝,qìngzhù ,V,to celebrate,ăn mừng,2
5-2,6.     ,件,jiàn ,M,measure word for clothing,lượng từ cho quần áo,2
5-2,7.     ,喜事,xǐshì ,N,"an auspicious occasion, such as a wedding","việc hỷ, dịp vui (như đám cưới)",2
5-2,8.     ,請客,qǐngkè ,V-sep,"to host a banquet, treat somebody to a meal","thết đãi, đãi tiệc",2
5-2,9.     ,紅包,hóngbāo ,N,red envelope with cash gift,phong bì đỏ (có tiền mừng),2
5-2,10.  ,送,sòng ,V,"to give a gift,to send off, to see off","tặng quà, tiễn ai đó",2
5-2,11.  ,新人,xīnrén ,N,newlyweds (used only at a wedding),cặp đôi mới cưới,2
5-2,12.  ,喜宴,xǐyàn ,N,"wedding banquet, wedding reception",tiệc cưới,2
5-2,13.  ,敬酒,jìngjiǔ ,V-sep,to make a toast (alcoholic drinks),nâng cốc chúc mừng (rượu),2
5-2,14.  ,大人,dàrén,N,adult,người lớn,2
5-2,15.  ,小孩,xiǎohái ,N,"child, children",trẻ con,2
5-2,16.  ,不得了,bùdéliǎo ,Vs,very; extremely; indicates severity,"rất, cực kỳ",2
5-2,17.  ,另外,lìngwài ,Det,another,khác,2
5-2,18.  ,糖,táng ,N,candies,kẹo,2
5-2,19.  ,離開,líkāi ,Vp,"to depart, to leave",rời đi,2
5-2,20.  ,句,jù ,M,measure word for utterances,lượng từ cho câu nói,2
5-2,21.  ,祝福,zhùfú ,V,to give blessings to,"ban phước lành, chúc phúc",2
5-2,22.  ,話,huà ,N,"utterance, word",lời nói,2
5-2,23.  ,一會兒,yìhuǐr ,,in a moment,một lúc nữa,2
5-2,24.  ,有說有笑,yǒushuō yǒuxiào ,,laughing and joking,vừa nói vừa cười,2
5-2,25.  ,有吃有喝,yǒuchī yǒuhē,,an availability of food and drink,có ăn có uống,2
5-2,26.  ,百年好合,bǎinián hǎohé ,,"century-long matrimony, i.e., to have a long happy marriage",trăm năm hạnh phúc,2
5-2,27.  ,早生貴子,zǎoshēng guìzǐ,,May you soon bear a child! (a traditional exhortation given to newly-weds),Sớm sinh quý tử!,2
6-1,1.         ,李東健,Lǐ Dōngjiàn,,"Li Dongjian, a man from Seoul",Lý Đông Kiện (một người đàn ông từ Seoul),2
6-1,2.         ,搬,bān,V,to move to,chuyển đến,2
6-1,3.         ,河邊,hé biān ,N,riverside,bờ sông,2
6-1,4.         ,公園,gōngyuán ,N,park,công viên,2
6-1,5.         ,腳踏車,jiǎotàchē,N,bicycle,xe đạp,2
6-1,6.         ,正在,zhèngzài,Adv,"right in the middle of, currently engaged in",đang,2
6-1,7.         ,網站,wǎngzhàn,N,website,trang web,2
6-1,8.         ,資料,zīliào,N,information,thông tin,2
6-1,9.         ,搬家,bān jiā,V-sep,to move (home),chuyển nhà,2
6-1,10.      ,近,jìn,Vs,"near, close by",gần,2
6-1,11.      ,合約,héyuē,N,"contract, agreement",hợp đồng,2
6-1,12.      ,到期,dàoqí,Vp,to expire,hết hạn,2
6-1,13.      ,還好,háihǎo ,Adv,fortunately,may mắn thay,2
6-1,14.      ,光線,guāngxiàn,N,natural lighting,ánh sáng tự nhiên,2
6-1,15.      ,重要,zhòngyào,Vs,important,quan trọng,2
6-1,16.      ,如果,rúguǒ ,Conj,if,nếu,2
6-1,17.      ,別的,biéde,Det,other,khác,2
6-1,18.      ,合適,héshì,Vs,suitable,phù hợp,2
6-1,19.      ,少,shǎo,Vpt,to lack,thiếu,2
6-1,20.      ,可惜,kěxí,Vs,"to be a shame, a pity",đáng tiếc,2
6-1,21.      ,放,fàng ,V,"to store, to leave at a place","cất giữ, để lại",2
6-1,22.      ,兩邊,liǎngbiān,N,both places,cả hai bên,2
6-1,23.      ,願意,yuànyì,Vaux,to be willing to,sẵn lòng,2
6-1,24.      ,開,kāi ,V,to drive,lái xe,2
6-1,25.      ,存,cún,V,to save,tiết kiệm,2
6-1,26.      ,隨身碟,suíshēndié,N,flash drive,USB,2
6-1,27.      ,什麼樣,shénmeyàng,,what kind of,loại nào,2
6-1,28.      ,慢慢來,mànmàn lái,,take your time,cứ từ từ,2
6-1,29.      ,不急,bùjí,,"don’t rush, no hurry",đừng vội,2
6-2,1.        ,相當,xiāngdāng,Adv,fairly,khá,2
6-2,2.        ,自行車,zìxíngchē,N,bicycle,xe đạp,2
6-2,3.        ,床,chuáng,N,bed,giường,2
6-2,4.        ,桌子,zhuōzi,N,"desk, table",bàn,2
6-2,5.        ,椅子,yǐzi,N,chair,ghế,2
6-2,6.        ,家具,jiājù,N,furniture,đồ nội thất,2
6-2,7.        ,而且,érqiě,Conj,also,hơn nữa,2
6-2,8.        ,吵,chǎo,Vs,noisy,ồn ào,2
6-2,9.        ,生活費,shēnghuófèi,N,living expenses,chi phí sinh hoạt,2
6-2,10.     ,低,dī,Vs,low,thấp,2
6-2,11.     ,留,liú ,"Vi, V","to stay, to leave behind","ở lại, để lại",2
6-2,12.     ,長,cháng,Vs,long,dài,2
6-2,13.     ,討論,tǎolùn,V,"to have a discussion over, to go over with",thảo luận,2
6-2,14.     ,社團,shètuán,N,"club, association","câu lạc bộ, hội",2
6-2,15.     ,活動,huódòng,N,activity,hoạt động,2
6-2,16.     ,失望,shīwàng,Vs,to be disappointed,thất vọng,2
6-2,17.     ,放心,fàngxīn,Vs-sep,"not to worry, to rest assured",yên tâm,2
6-2,18.     ,用,yòng,V,to use,sử dụng,2
6-2,19.     ,首爾,Shǒu’ěr,,Seoul,Seoul,2
7-1,1.     ,垃圾,lèsè,N,garbage,rác,2
7-1,2.     ,倒,dào,V,to throw out (garbage),đổ (rác),2
7-1,3.     ,丟,diū,V,"to throw, to throw away (garbage)","ném, vứt (rác)",2
7-1,4.     ,收,shōu,V,to collect,thu gom,2
7-1,5.     ,以為,yǐwéi ,Vst,to assume wrongly,"nghĩ sai, cho rằng",2
7-1,6.     ,回收,huíshōu,V,to recycle,tái chế,2
7-1,7.     ,規定,guīdìng,N,"rules, regulation","quy định, quy tắc",2
7-1,8.     ,要不然,yàobùrán,Conj,otherwise,nếu không thì,2
7-1,9.     ,皮包,píbāo,N,purse,ví,2
7-1,10.  ,跑,pǎo,Vi,to run,chạy,2
7-1,11.  ,追,zhuī,V,"to run after, to chase",đuổi theo,2
7-1,12.  ,有趣,yǒuqù ,Vs,interesting,thú vị,2
7-1,13.  ,不壞,bú huài,Vs,not too bad,không tệ,2
7-1,14.  ,天天,tiāntiān,,everyday,hàng ngày,2
7-1,15.  ,汽水罐,qìshuǐ guàn,,soda can,lon nước ngọt,2
7-1,16.  ,紙杯,zhǐbēi,,paper cup,cốc giấy,2
7-1,17.  ,放下,fàngxià ,,put down,đặt xuống,2
7-1,18.  ,走出來,zǒu chūlái,,to walk out of,đi ra,2
7-1,19.  ,怎麼辦,zěnmebàn,,What now?,Làm sao bây giờ?,2
7-2,1.         ,聊,liáo,V,to chat (about),tán gẫu (về),2
7-2,2.         ,忽然,hūrán,Adv,suddenly,đột nhiên,2
7-2,3.         ,聲音,shēngyīn,N,sound,âm thanh,2
7-2,4.         ,奇怪,qíguài,Vs,"strange, odd",kỳ lạ,2
7-2,5.         ,袋子,dàizi,N,bag,túi,2
7-2,6.         ,輛,liàng,M,measure word for vehicles,lượng từ cho xe cộ,2
7-2,7.         ,一定,yídìng,Vs-attr,"fixed, set, at a certain…","cố định, nhất định",2
7-2,8.         ,地點,dìdiǎn,N,location,địa điểm,2
7-2,9.         ,為了,wèile,Prep,"to, for the sake of","vì, vì lợi ích của",2
7-2,10.      ,保護,bǎohù,V,to protect,bảo vệ,2
7-2,11.      ,分類,fēnlèi,N,classification,phân loại,2
7-2,12.      ,利用,lìyòng,V,to make use of,tận dụng,2
7-2,13.      ,紙,zhǐ,N,paper,giấy,2
7-2,14.      ,瓶子,píngzi,N,bottle,chai,2
7-2,15.      ,塑膠,sùjiāo,N,plastic,nhựa,2
7-2,16.      ,資源,zīyuán,N,resource,tài nguyên,2
7-2,17.      ,回收桶,huíshōutǒng,N,recycling bin,thùng tái chế,2
7-2,18.      ,城市,chéngshì,N,city,thành phố,2
7-2,19.      ,聽見,tīngjiàn,,"to hear, to have heard",nghe thấy,2
7-2,20.      ,開過來,kāi guòlái,,to drive over ,lái xe tới,2
7-2,21.      ,走過去,zǒu guòqù,,to walk over ,đi bộ qua,2
7-2,22.      ,丟進去,diū jìnqù,,to throw into,ném vào,2
7-2,23.      ,路上,lùshàng,,on the street,trên đường,2
8-1,1.        ,功夫,gōngfū,N,"kungfu, martial arts","võ thuật, Kungfu",2
8-1,2.        ,叫,jiào,V,to call (for someone’s attention),gọi (để thu hút sự chú ý),2
8-1,3.        ,見,jiàn,Ptc,accomplishment complete (in perception),trợ từ hoàn thành (trong nhận thức),2
8-1,4.        ,推,tuī ,V,to push,đẩy,2
8-1,5.        ,體育館,tǐyùguǎn,N,gym,phòng tập thể dục,2
8-1,6.        ,太極拳,tàijíquán,N,"Tai Chi, shadow boxing",Thái Cực Quyền,2
8-1,7.        ,師父,shīfù,N,(kungfu or other skill) master,sư phụ,2
8-1,8.        ,天分,tiānfèn,N,"gift, talent","năng khiếu, tài năng bẩm sinh",2
8-1,9.        ,懂,dǒng ,Vpt,"to understand, to comprehend",hiểu,2
8-1,10.     ,起來,qǐlái,Vp,to wake up,thức dậy,2
8-1,11.     ,動作,dòngzuò,N,movement,động tác,2
8-1,12.     ,輕,qīng,Vs,"light, effortless, gentle",nhẹ nhàng,2
8-1,13.     ,腿,tuǐ,N,leg,chân,2
8-1,14.     ,了,liǎo ,Ptc,capability complement,trợ từ khả năng,2
8-1,15.     ,下去,xiàqù,Ptc,a temporal particle meaning to continue with an action,trợ từ thời gian chỉ sự tiếp tục hành động,2
8-1,16.     ,興趣,xìngqù,N,interest,"sở thích, hứng thú",2
8-1,17.     ,借,jiè,V,to borrow,mượn,2
8-1,18.     ,有天分,yǒu tiānfèn,,"to be gifted, talented",có năng khiếu,2
8-1,19.     ,學會,xuéhuì,,"to learn, to master","học được, nắm vững",2
8-1,20.     ,起不來,qǐ bù lái,,can’t get up (from bed),không dậy được (khỏi giường),2
8-1,21.     ,走不了路,zǒu bù liǎo lù,,can’t walk,không đi được,2
8-2,1.        ,好處,hǎochù,N,benefit,lợi ích,2
8-2,2.        ,抱怨,bàoyuàn,Vi,to complain,phàn nàn,2
8-2,3.        ,公尺,gōngchǐ,N,meter,mét,2
8-2,4.        ,總是,zǒngshì,Adv,"always, invariably",luôn luôn,2
8-2,5.        ,完,wán,Ptc,"phase marker for ‘completion’, to finish…",trợ từ chỉ sự hoàn thành,2
8-2,6.        ,體力,tǐlì,N,physical strength,thể lực,2
8-2,7.        ,整天,zhěngtiān,N,an entire day,cả ngày,2
8-2,8.        ,精神,jīngshén,N,"spirit, energy","tinh thần, năng lượng",2
8-2,9.        ,本來,běnlái,Adv,originally,"vốn dĩ, ban đầu",2
8-2,10.     ,可能,kěnéng,Vaux,"maybe, probably","có lẽ, có thể",2
8-2,11.     ,回,huí ,V,to return to,trở về,2
8-2,12.     ,影響,yǐngxiǎng,V,"to influence, to interfere with",ảnh hưởng,2
8-2,13.     ,身體,shēntǐ,N,body,cơ thể,2
8-2,14.     ,練,liàn,V,"to practice, to train, to drill",luyện tập,2
8-2,15.     ,想起,xiǎngqǐ,,to recall,nhớ lại,2
9-1,1.     ,春假,chūnjià,N,spring break,kỳ nghỉ xuân,2
9-1,2.     ,好,hǎo,Ptc,"As a resultative particle, it indicates a proper completion of an action.",trợ từ kết quả chỉ sự hoàn thành đúng đắn,2
9-1,3.     ,到,dào,Ptc,"As a resultative particle, it indicates a successful completion of an action.",trợ từ kết quả chỉ sự hoàn thành thành công,2
9-1,4.     ,特色,tèsè,N,"unique features, distinctive traits","đặc trưng, nét riêng biệt",2
