課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
2-1,15,只不過,zhǐbúguò,Ph,"only, no more than","chỉ là, không hơn",5
2-1,16,種子,zhǒngzǐ,N,seed,hạt giống,5
2-1,17,比如說,bǐrú shuō,Ph,for example,ví dụ như,5
2-1,18,維他命,wéitāmìng,N,vitamin,vitamin,5
2-1,19,蔬果,shūguǒ,N,fruits and vegetables,rau quả,5
2-1,20,抗癌,kàng’ái,Vs,anti-cancerous,chống ung thư,5
2-1,21,過敏,guòmǐn,Vs,to be allergic,bị dị ứng,5
2-1,22,花生,huāshēng,N,peanut,đậu phộng,5
2-1,23,科學家,kēxuéjiā,N,scientist,nhà khoa học,5
2-1,24,豐富,fēngfù,Vs,rich (abundant in something),phong phú,5
2-1,25,享用,xiǎngyòng,V,"to enjoy the use of, enjoy (a meal)","thưởng thức, dùng (bữa ăn)",5
2-1,26,達到,dádào,Vpt,"to reach, obtain",đạt được,5
2-1,27,預防,yùfáng,Vst,"to prevent, guard against",ngăn ngừa,5
2-1,28,疾病,jíbìng,N,"illness, sickness",bệnh tật,5
2-1,29,效果,xiàoguǒ,N,"effect, results","hiệu quả, kết quả",5
2-1,30,好幾（種）,hǎojǐ zhǒng,Ph,"a number of, quite a few kinds of",vài (loại),5
2-1,31,警告,jǐnggào,V/N,"to warn, warning",cảnh báo; sự cảnh báo,5
2-1,32,突破,túpò,Vpt,"to make a breakthrough, to top,  to break (a record, number)","đột phá, phá vỡ (kỷ lục)",5
2-1,33,糧食,liángshí,N,"food, foodstuff",lương thực,5
2-1,34,早晚,zǎowǎn,Adv,sooner or later,sớm muộn,5
2-1,35,不僅,bùjǐn,Adv,not only,không chỉ,5
2-1,36,農作物,nóngzuòwù,N,"crop, produce",cây trồng,5
2-1,37,抵抗力,dǐkàng lì,N,"resistance, immunity","sức đề kháng, miễn dịch",5
2-1,38,蟲害,chónghài,N,damage by pests,thiệt hại do sâu bọ,5
2-1,39,產量,chǎnliàng,N,"output, yield, production",sản lượng,5
2-1,40,飢荒,jīhuāng,N,famine,nạn đói,5
2-1,41,含有,hányǒu,Vst,"to contain, to have","chứa, có",5
2-1,42,大豆,dàdòu,N,"soybean, soya",đậu nành,5
2-1,43,玉米,yùmǐ,N,corn,ngô,5
2-1,44,密不可分,mìbù kěfēn,Id,"inseparable, integrated with","gắn bó khăng khít, không thể tách rời",5
2-1,45,生產,shēngchǎn,V,"to produce, manufacture",sản xuất,5
2-1,46,缺少,quēshǎo,Vst,to be in shortage of,thiếu hụt,5
2-1,47,依賴,yǐkào,Vst,"to rely on, depend on","phụ thuộc vào, dựa vào",5
2-1,48,進口,jìnkǒu,V,to import,nhập khẩu,5
2-1,49,危機,wéijī,N,crisis,khủng hoảng,5
2-1,50,生物科技,shēngwù kējì,Ph,bio-tech,công nghệ sinh học,5
2-1,51,機構,jīgòu,N,"organization, depts. of gov’t","tổ chức, cơ quan",5
2-1,52,證據,zhèngjù,N,"proof, evidence",bằng chứng,5
2-1,53,證明,zhèngmíng,V/N,"to prove, proof",chứng minh; bằng chứng,5
2-1,54,人體,réntǐ,N,the human body,cơ thể con người,5
2-1,55,結論,jiélùn,N,conclusion,kết luận,5
2-1,56,生長,shēngzhǎng,Vi,to grow,"lớn lên, phát triển",5
2-1,57,除草劑,chúcǎojì,N,"weed killer, herbicide",thuốc diệt cỏ,5
2-1,58,物質,wùzhí,N,"matter, substance",vật chất,5
2-1,59,怪物,guàiwù,N,monster ,quái vật,5
2-1,60,原料,yuánliào,N,raw materials,nguyên liệu thô,5
2-1,61,包裝,bāozhuāng,N,packaging,bao bì,5
2-1,62,標示,biāoshì,V/N,"to label, mark","dán nhãn, đánh dấu; nhãn mác",5
2-1,63,一切,yíqiè,Det,all,tất cả,5
2-2,1,昆蟲,kūnchóng,N,insect,côn trùng,5
2-2,2,不孕,búyùn,Vs,"to be infertile, barren",vô sinh,5
2-2,3,罹患,líhuàn,Vst,"to come down with, be stricken with, suffer from","mắc phải, bị (bệnh)",5
2-2,4,癌症,áizhèng,N,cancer,ung thư,5
2-2,5,蘋果,píngguǒ,N,apple,táo,5
2-2,6,鮭魚,guīyú,N,salmon,cá hồi,5
2-2,7,不知不覺,bùzhī bùjué,Id,"without even realizing it, before you even know it, without one even noticing","một cách vô thức, không nhận ra",5
2-2,8,辨別,biànbié,V,"to distinguish, tell apart","phân biệt, nhận ra",5
2-2,9,安心,ānxīn,Vs,"to have peace of mind, set one’s mind at rest",yên tâm,5
2-2,10,雜誌,zázhì,N,"magazine, journal",tạp chí,5
2-2,11,編輯,biānjí,V,to edit,biên tập,5
2-2,12,後果,hòuguǒ,N,"consequence, result",hậu quả,5
2-2,13,雜草,zácǎo,N,weed,cỏ dại,5
2-2,14,某,mǒu,Det,"certain, some","một nào đó, một vài",5
2-2,15,專利,zhuānlì,N,patent,bằng sáng chế,5
2-2,16,農民,nóngmín,N,farmer,nông dân,5
2-2,17,收購,shōugòu,V,"acquire, buy out","thu mua, mua lại",5
2-2,18,居高不下,jūgāo búxià,Id,"remain high, won’t come down",ở mức cao không giảm,5
2-2,19,絕對,juéduì,Adv,"absolutely, in no way","tuyệt đối, hoàn toàn không",5
2-2,20,符合,fúhé,Vst,"to meet with, conform with","đáp ứng, phù hợp với",5
2-2,21,非,fēi,Vst,"non-, not (classical Chinese)",không phải (từ Hán Việt cổ),5
2-2,22,事實,shìshí,N,"fact, truth",sự thật,5
2-2,23,種植,zhòngzhí,V,"to plant, cultivate","trồng trọt, canh tác",5
2-2,24,總用量,zǒng yòngliàng,Ph,total dosage,tổng liều lượng,5
2-2,25,公斤,gōngjīn,N,kilogram,kilogram,5
2-2,26,即便,jíbiàn,Conj,"even if, despite","ngay cả khi, mặc dù",5
2-2,27,兼,jiān,Adv,"concurrently, simultaneously",đồng thời,5
2-2,28,欺騙,qīpiàn,V,"to deceive, scam, cheat","lừa dối, lừa gạt",5
2-2,29,國人,guórén,N,(our) fellow countrymen,người dân (trong nước),5
2-2,30,立法,lìfǎ,V-sep,to make a law,lập pháp,5
2-2,31,以,yǐ,Adv,"so as to, such that","để, nhằm",5
2-2,32,維護,wéihù,V,"to safeguard, protect","bảo vệ, duy trì",5
2-2,33,神奇,shénqí,Vs,"magical, miraculous",kỳ diệu,5
2-2,34,手段,shǒuduàn,N,"means, measure","biện pháp, thủ đoạn",5
2-2,35,付出,fùchū,V,to pay (a heavy price for),trả giá,5
2-2,36,代價,dàijià,N,(to pay a heavy) price,cái giá (phải trả),5
2-2,37,掌握,zhǎngwò,V,"to hold, grasp, control","nắm giữ, kiểm soát",5
3-1,1,風氣,fēngqì,N,"ethos, mood (said of society, a nation etc.)","phong khí, xu hướng xã hội",5
3-1,2,開放,kāifàng,N,"(nominalized from its verb from) to open up to the outside world; liberal, non-conservative","mở cửa, tự do (danh từ hóa từ động từ)",5
3-1,3,意外,yìwài,N,accident,tai nạn bất ngờ,5
3-1,4,存在,cúnzài,Vs,to exist,tồn tại,5
3-1,1,內在,nèizài,N,"internal, implicit; internal quality","bên trong, phẩm chất bên trong",5
3-1,2,特質,tèzhí,N,"characteristic, quality","đặc tính, phẩm chất",5
3-1,3,勝,shèng,Vst,"be superior to, to win (classical Chinese) ","vượt trội hơn, chiến thắng (từ Hán Việt cổ)",5
3-1,4,醜,chǒu,Vs,ugly,xấu xí,5
3-1,5,顏值,yánzhí,N,“face value” (play on words),"""giá trị khuôn mặt"" (chơi chữ)",5
3-1,6,他人,tārén,N,"other people, others",người khác,5
3-1,7,不盡然,bújìnrán,Vs,not necessarily so,không hẳn là như vậy,5
3-1,8,要求,yāoqiú,V,"to request, demand","yêu cầu, đòi hỏi",5
3-1,9,整出,zhěngchū,V,to produce (through plastic surgery)  ,tạo ra (thông qua phẫu thuật thẩm mỹ),5
3-1,10,鼻子,bízi,N,nose,mũi,5
3-1,11,皮膚,pífū,N,skin,da,5
3-1,12,細,sì,Vs,"thin, slender","mảnh mai, thon",5
3-1,13,腰,yāo,N,waist; small of the back,eo ngực,5
3-1,14,豐胸,fēngxiōng,N,breast enlargement,nâng ngực,5
3-1,15,高挺,gāotǐng,Vs,to be high-bridged (said of noses),cao và thẳng (sống mũi),5
3-1,16,水汪汪,shuǐwāngwāng,Vs,to be “doe-eyed”,long lanh như nước (mắt),5
3-1,17,參賽,cānsài,Vi,to take part in a competition,tham gia cuộc thi,5
3-1,18,眼光,yǎnguāng,N,"judgment, how others look at you","sự đánh giá, cái nhìn (của người khác)",5
3-1,19,矛盾,máodùn,Vs,contradictory,mâu thuẫn,5
3-1,20,外貌,wàimào,N,"Looks, appearance, exterior","ngoại hình, vẻ bề ngoài",5
3-1,21,美滿,měimǎn,Vs,"happy, fulfilled (said of families, lives, marriages, etc.)","hạnh phúc, viên mãn",5
3-1,22,職涯,zhíyá,N,career,sự nghiệp,5
3-1,23,以貌取人,yǐmào qǔrén,Id,judge a book by its cover; judge by appearance (said of people),đánh giá người khác qua vẻ bề ngoài,5
3-1,24,不計一切,bújì yíqiè,Id,do whatever it takes,làm mọi cách,5
3-1,25,英俊,yīngjùn,Vs,handsome,đẹp trai,5
3-1,26,獲得,huòdé,Vpt,"to obtain, attain","đạt được, thu được",5
3-1,27,青睞,qīnglài,N,special attention and favor,"sự ưu ái, thiện cảm",5
3-1,28,對象,duìxiàng,N,significant other; boyfriend/girlfriend; object of love,"đối tượng, bạn trai/bạn gái",5
3-1,29,智力,zhìlì,N,intelligence,trí thông minh,5
3-1,30,同樣,tóngyàng,Vs,in the same way; similar,"tương tự, giống nhau",5
3-1,31,團隊,tuánduì,N,team,đội ngũ,5
3-1,32,金錢,jīnqián,N,money,tiền bạc,5
3-1,33,投資,tóuzī,V/N,to invest; investment,đầu tư; sự đầu tư,5
3-1,34,行為,xíngwéi,N,behavior,hành vi,5
3-1,35,儘管,jǐnguǎn,Conj,"even though, although",mặc dù,5
3-1,36,日漸,rìjiàn,Adv,"with each day, with each passing day, gradually","ngày càng, dần dần",5
3-1,37,失敗,shībài,Vp,to fail,thất bại,5
3-1,38,胸部,xiōngbù,N,breast; chest,ngực,5
3-1,39,大小不一,dàxiǎo bùyī,Id,"in different sizes, of various sizes",có kích cỡ không đều,5
3-1,40,變形,biànxíng,Vp,to be deformed,biến dạng,5
3-1,41,失血,shīxiě,Vp-sep,to lose blood,mất máu,5
3-1,42,過,guò,Adv,excessively,quá mức,5
3-1,43,飽受,bǎoshòu,Vpt,to suffer greatly from ,chịu đựng nhiều từ,5
3-1,44,後遺症,hòuyízhèng,N,"after-effects, sequela",di chứng,5
3-1,45,副作用,fùzuòyòng,N,side-effects,tác dụng phụ,5
3-1,46,多麼,duōme,Adv,how ,"biết bao, thật là",5
3-1,47,冒險,màoxiǎn,V-sep,"to risk, take risk, adventure",mạo hiểm,5
3-1,48,如今,rújīn,Adv,"nowadays, today","ngày nay, hiện nay",5
3-1,49,捷徑,jiéjìng,N,shortcut,đường tắt,5
3-1,50,進而,jìn’ér,Adv.,furthermore,"hơn nữa, từ đó",5
3-1,51,謹慎,jǐnshèn,Vs,"careful, cautious ","thận trọng, cẩn thận",5
3-1,52,看待,kàndài,V,to regard,"xem xét, đối đãi",5
3-2,1,吹,chuī,V,to blow (used in the text to mean a trend has been “circulating” or “stirring”),"thổi (dùng để chỉ một xu hước đang ""lan truyền"")",5
3-2,2,旅遊,lǚyóu,N,"tour, trip",du lịch,5
3-2,3,極具,jíjù,Vst,to strongly possess (classical Chinese),sở hữu mạnh mẽ (từ Hán Việt cổ),5
3-2,4,潛力,qiánlì,N,potential,tiềm năng,5
3-2,5,理由,lǐyóu,N,reason,lý do,5
3-2,6,天性,tiānxìng,N,"nature, instinct",bản năng tự nhiên,5
3-2,7,列入,lièrù,V,"to include, take into","đưa vào, tính đến",5
3-2,8,考量,kǎoliáng,N,consideration ,sự cân nhắc,5
3-2,9,公關,gōngguān,N,public relations,quan hệ công chúng,5
3-2,10,時尚,shíshàng,N,fashion; trend,"thời trang, xu hướng",5
3-2,11,產業,chǎnyè,N,industry,ngành công nghiệp,5
3-2,12,眼皮,yǎnpí,N,eyelid,mí mắt,5
3-2,13,精神奕奕,jīngshén yìyì,Id,full of vigor/life/vitality,tràn đầy sức sống,5
3-2,14,違反,wéifǎn,V,"to violate, go against","vi phạm, đi ngược lại",5
3-2,15,假,jiǎ,Vs,"false, fake, bogus","giả, giả mạo",5
3-2,16,造假,zàojiǎ,Vi,"to cheat, deceive","gian lận, giả mạo",5
3-2,17,標籤,biāoqiān,N,label,nhãn mác,5
3-2,18,優勢,yōushì,N,advantage,lợi thế,5
3-2,19,理解,lǐjiě,Vst,to understand,hiểu,5
3-2,20,生來,shēnglái,Ph,from birth (=出生以來),từ khi sinh ra,5
3-2,21,差異,chāyì,N,difference,sự khác biệt,5
3-2,22,天生,tiānshēng,Adv,innate ,bẩm sinh,5
3-2,23,後天,hòutiān,N,in later stages of development,"về sau, trong quá trình phát triển",5
3-2,24,長相,zhǎngxiàng,N,"appearance, looks","ngoại hình, khuôn mặt",5
3-2,25,平平,píngpíng,Vs,"plain,average, mediocre","bình thường, tầm thường",5
3-2,26,醫學,yīxué,N,medical science,y học,5
3-2,27,縮小,suōxiǎo,V,"to shrink, shorten",thu nhỏ,5
3-2,28,差距,chājù,N,"gap, distance between","khoảng cách, sự chênh lệch",5
3-2,29,無疑,wúyí,Adv,undoubtedly,"chắc chắn, không nghi ngờ",5
3-2,30,器材,qìcái,N,equipment,thiết bị,5
3-2,31,藥品,yàopǐn,N,"drug, medicine","dược phẩm, thuốc men",5
3-2,32,大幅,dàfú,Adv,"substantially, sharply ","đáng kể, mạnh mẽ",5
3-2,33,事先,shìxiān,Adv,"beforehand, in advance","trước, trước đó",5
3-2,34,評估,pínggū,V,"to evaluate, assess","đánh giá, ước lượng",5
3-2,35,患者,huànzhě,N,patient,bệnh nhân,5
3-2,36,動機,dòngjī,N,motivation,động cơ,5
3-2,37,狀態,zhuàngtài,N,"state, situation","tình trạng, trạng thái",5
3-2,38,執行,zhíxíng,V,"to carry out, execute","thực thi, tiến hành",5
3-2,39,身體髮膚受之父母,"shēntǐ fǎfūshòuzhī fùmǔ, ",Id,"your body, from your hair to your skin, is a gift from your parents (suggests that you have a responsibility to cherish and care for it)",thân thể tóc da nhận từ cha mẹ (ý nói phải biết trân trọng),5
3-2,40,剪,jiǎn,V,to cut (with scissors),cắt (bằng kéo),5
3-2,41,理會,lǐhuì,V,to pay attention to ,"để ý, quan tâm đến",5
3-2,42,有何不可,yǒuhé bùkě,Id,What's wrong with that? and why not? what's the harm in that?,Có gì là không được chứ? Tại sao không?,5
4-1,1,刪減,shānjiǎn,V,"to cut, cut back on (as in funds, personnel, etc.)",cắt giảm,5
4-1,2,鬥牛,dòuniú,N,bullfighting,đấu bò,5
4-1,3,街頭,jiētóu,N,the streets (used in phrases like “take to the streets”),đường phố,5
4-1,4,舉,jǔ,V,"to raise, hold up","giơ lên, cầm lên",5
4-1,5,示威,shìwēi,Vi,"to demonstrate, rally","biểu tình, tuần hành",5
4-1,6,主張,zhǔzhāng,V/N,to advocate a view or a standard,"chủ trương, quan điểm; ủng hộ một quan điểm",5
4-1,7,保存,bǎocún,V,to preserve,"bảo tồn, gìn giữ",5
4-1,8,廢止,fèizhǐ,V,to abolish,bãi bỏ,5
4-1,9,引發,yǐnfā,Vst,"to set off, trigger","kích hoạt, gây ra",5
4-1,10,正反,zhèngfǎn,N,"protesters and supporters, pros and cons","ủng hộ và phản đối, mặt tích cực và tiêu cực",5
4-1,11,兩方,liǎngfāng,N,"both parties, the two sides","hai bên, hai phía",5
4-1,12,激烈,jīliè,Vs,"to be intense, fierce","kịch liệt, mãnh liệt",5
4-1,1,具有,jùyǒu,Vst,"to have, possess","có, sở hữu",5
4-1,2,祭品,jìpǐn,N,"offering to god(s), sacrificial items","vật cúng tế, đồ tế lễ",5
4-1,3,全民,quánmín,N,all the people,toàn dân,5
4-1,4,座,zuò,M,"measure for large objects like mountains, castles, gigantic temples on hilltops","lượng từ cho các vật thể lớn (núi, lâu đài)",5
4-1,5,鬥牛場,dòuniú chǎng,N,bullfighting ring,đấu trường đấu bò,5
4-1,6,馬德里,Mǎdélǐ,N,Madrid,Madrid,5
4-1,7,至今,zhìjīn,Adv,"to this day, heretofore",cho đến ngày nay,5
4-1,8,鬥牛士,dòuniú shì,N,bullfighter,đấu sĩ đấu bò,5
4-1,9,華麗,huálì,Vs,"to be magnificent, resplendent","lộng lẫy, tráng lệ",5
4-1,10,服飾,fúshì,N,"clothing and accessories, apparel, costume","trang phục, y phục",5
4-1,11,一面,yímiàn,Adv,"on the one hand, on the other; (do A), while (doing B)",một mặt... (mặt khác...); vừa... vừa...,5
4-1,12,披風,pīfēng,N,cape,áo choàng không tay,5
4-1,13,激怒,jīnù,V,"to infuriate, excite","kích động, chọc tức",5
4-1,14,公牛,gōngniú,N,bull,bò đực,5
4-1,15,優雅,yōuyǎ,Vs,"to be graceful, elegant","thanh lịch, duyên dáng",5
4-1,16,姿勢,zīshì,N,"posture, position, poses","tư thế, dáng điệu",5
4-1,17,結合,jiéhé,N/V,"to combine, unite, union, blend",sự kết hợp; kết hợp,5
4-1,18,過人,guòrén,Vs,insurpassable ,"vượt trội, hơn người",5
4-1,19,熟練,shóuliàn,Vs,"adept, skillful, proficient","thành thạo, điêu luyện",5
4-1,20,崇拜,chóngbài,Vst,"to worship, adore","tôn thờ, ngưỡng mộ",5
4-1,21,旺季,wàngjì,N,peak season,mùa cao điểm,5
4-1,22,遊客,yóukè,N,"visitor, tourist",du khách,5
4-1,23,前往,qiánwǎng,V,"to go to, head to","đi đến, tiến về",5
4-1,24,觀賞,guānshǎng,V,"to view, enjoy the view of","ngắm, thưởng thức",5
4-1,25,奔牛節,Bēnniújié,N,The Running of the Bulls (in Pamplona),Lễ hội Chạy bò Pamplona,5
4-1,26,重頭戲,zhòngtóuxì,N,the main event,"sự kiện chính, phần chính",5
4-1,27,狂奔,kuángbēn,Vi,"to run madly, run like crazy",chạy cuồng loạn,5
4-1,28,歐元,ōuyuán,N,Euro,Euro,5
4-1,29,必要,bìyào,N,need,sự cần thiết,5
