課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
1-1,11,口頭,kǒutóu ,Vs-attr,"verbal, oral","bằng lời nói, khẩu ngữ",วาจาวาจา,နှုတ်၊ ပါးစပ်,口頭で、口頭で,"구두, 구두","verbales, orales","lisan, lisan",3
1-1,12,報告,bàogào ,N,report,báo cáo,รายงาน,အစီရင်ခံစာ,報告,보고서,informe,laporan,3
1-1,13,壓力,yālì,N,"pressure, stress","áp lực, sự căng thẳng",ความกดดันความเครียด,ဖိအား၊ စိတ်ဖိစီးမှု,プレッシャー、ストレス,"압력, 스트레스","presión, estrés","tekanan, stres",3
1-1,14,說明,shuōmíng ,N,"instructions, explanation","hướng dẫn, lời giải thích",คำแนะนำคำอธิบาย,ညွှန်ကြားချက်များ၊ ရှင်းလင်းချက်,指示、説明,"지시, 설명","instrucciones, explicación","instruksi, penjelasan",3
1-1,15,清楚,qīngchǔ ,Vs,clear(ly),rõ ràng,ชัดเจน (ลี),ရှင်းပါတယ် (ly),明らかに）,분명히),claramente),jelas(ly),3
1-1,16,位子,wèizi ,N,"seat, place","chỗ ngồi, vị trí",ที่นั่งสถานที่,ထိုင်ခုံ၊ နေရာ,席、場所,"좌석, 장소","asiento, lugar","tempat duduk, tempat",3
1-1,17,旁聽,pángtīng,V,"to audit,to sit in (on a class)",dự thính (một lớp học),"ตรวจสอบ, นั่งเรียน (ในชั้นเรียน)",စာရင်းစစ်ရန်၊ (အတန်းထဲတွင်ထိုင်ရန်),監査する、（授業に）座る,"청강하다, (수업에) 참석하다","auditar, sentarse (en una clase)","mengaudit, duduk (di kelas)",3
1-1,18,分,fēn ,N,Points,điểm,คะแนน,အမှတ်များ,ポイント,전철기,Agujas,Poin,3
1-1,19,羨慕,xiànmù ,Vst,to envy,ghen tị,อิจฉา,မနာလိုရန်,羨む,부러워하다,envidiar,iri,3
1-1,20,休學,xiūxué,Vp-sep,to take a break from school,tạm ngừng việc học,เพื่อพักการเรียน,ကျောင်းအနားယူရန်,学校を休みます,학교를 쉬려고,tomar un descanso de la escuela,istirahat dari sekolah,3
1-1,21,用功,yònggōng ,Vs,"diligent, conscientious (as a student)","chăm chỉ, tận tâm (với tư cách là học sinh)",ขยัน มีมโนธรรม (ในฐานะนักศึกษา),လုံ့လဝီရိယရှိ၍ (ကျောင်းသားအဖြစ်)၊,勤勉で誠実（学生時代）,"부지런한, 성실한 (학생 시절)","diligente, concienzudo (como estudiante)","rajin, teliti (sebagai pelajar)",3
1-1,22,行,xíng,Vs,to be all right,"được, ổn",จะไม่เป็นไร,အားလုံးအဆင်ပြေပါစေ။,大丈夫です,괜찮다,estar bien,menjadi baik-baik saja,3
1-1,23,轉,zhuǎn ,V,to transfer (to a different major),chuyển (ngành học),เพื่อถ่ายโอน (ไปยังวิชาเอกอื่น),လွှဲပြောင်းရန် (အခြားမေဂျာတစ်ခုသို့),（別の専攻に）転校する,(다른 전공으로) 편입하다,transferir (a una especialización diferente),pindah (ke jurusan lain),3
1-1,24,原來,yuánlái ,Adv,originally,"ban đầu, vốn dĩ",เดิม (doem) / แต่เดิม (tae doem),မူလက (mu la ka) / မူလ (mu la) / မူလတုန်းက (mu la tone ka),元々 (motomoto) / 本来 (honrai),원래 (wollae) / 본래 (bollae),originalmente,semula,3
1-1,25,會計,kuàijì ,N,"accounting, an accountant","kế toán, người kế toán",การบัญชีนักบัญชี,စာရင်းကိုင်၊ စာရင်းကိုင်,会計、会計士,"회계, 회계사","contabilidad, un contador","akuntansi, seorang akuntan",3
1-1,26,熱門,rèmén,Vs,highly popular,cực kỳ phổ biến,เป็นที่นิยมอย่างสูง,အလွန်ရေပန်းစားသည်။,非常に人気のある,인기가 높다,muy popular,sangat populer,3
1-1,27,熬夜,áoyè,V-sep,"to stay up all night, to burn the midnight oil","thức khuya, thức trắng đêm",นอนไม่หลับทั้งคืนเพื่อเผาน้ำมันเที่ยงคืน,တစ်ညလုံး အိပ်ဖို့၊ သန်းခေါင်ယံဆီ မီးရှို့ဖို့၊,一晩中起きて、真夜中の石油を燃やす,"밤새도록 밤을 새우다, 밤의 기름을 태우다","Estar despierto toda la noche, quemar el aceite de medianoche","begadang semalaman, membakar minyak tengah malam",3
1-1,28,當,dàng ,V,to fail a course,trượt (một môn học),ที่จะล้มเหลวหลักสูตร,သင်တန်းတစ်ခုပျက်ကွက်ဖို့,コースに失敗する,과목을 낙제하다,reprobar un curso,gagal dalam suatu kursus,3
1-1,29,恐怕,kǒngpà ,Adv,"(I am) afraid that, probably","(e sợ rằng) có lẽ, e rằng",(ฉัน) กลัวว่าอาจจะ,(ငါ) ကြောက်တယ်၊ ဖြစ်နိုင်တယ်။,（私は）おそらくそれを恐れています,(나는) 아마도 그럴까 두렵다,"(Tengo) miedo de que, probablemente","(Saya) takut, mungkin",3
1-1,30,口才,kǒucái ,N,speaking skills,tài ăn nói,ทักษะการพูด,စကားပြောစွမ်းရည်,スピーキングスキル,말하기 능력,habilidades para hablar,keterampilan berbicara,3
1-1,31,事,shì ,N,"issue, matter, event, thing","vấn đề, sự việc, sự kiện","ประเด็น, ประเด็น, เหตุการณ์, สิ่งของ",ကိစ္စ၊ ကိစ္စ၊ အဖြစ်အပျက်၊ အရာ,問題、問題、出来事、事,"문제, 문제, 사건, 일","asunto, asunto, acontecimiento, cosa","masalah, hal, peristiwa, hal",3
1-1,32,遲到,chídào,Vp,to be late (in arrival),đến muộn,มาสาย (เมื่อมาถึง),နောက်ကျ (ရောက်ရောက်ချင်း),（到着に）遅れる,(도착 중) 늦다,llegar tarde (al llegar),terlambat (kedatangan),3
1-1,33,差一點,chà yì diǎn,,"barely, nearly, almost","suýt nữa, gần như","แทบจะไม่, เกือบ, เกือบ",နီးပါး၊ နီးပါး,かろうじて、ほぼ、ほとんど,"간신히, 거의, 거의","apenas, casi, casi","hampir, hampir, hampir",3
1-1,34,這樣下去,zhèyàng xiàqù,,if it goes on like this,nếu cứ tiếp tục như thế này,ถ้ามันดำเนินต่อไปเช่นนี้,ဒီအတိုင်းဆက်သွားနေရင်,このままだと,만약 이런 일이 계속된다면,si sigue así,jika terus seperti ini,3
1-1,35,沒辦法,méi bànfǎ,,"there's no way, there's nothing that can be done","không còn cách nào, bó tay",ไม่มีทาง ไม่มีอะไรที่สามารถทำได้,နည်းလမ်းမရှိဘူး၊ ပြီးနိုင်စရာမရှိပါဘူး။,仕方ない、何もできない,"방법이 없어, 할 수 있는 게 아무것도 없어","no hay manera, no hay nada que se pueda hacer","tidak mungkin, tidak ada yang bisa dilakukan",3
1-2,1,獨生女,dúshēngnǚ ,N,only child (girl),con một (con gái),ลูกคนเดียว (สาว),တစ်ဦးတည်းသောကလေး (မိန်းကလေး),一人っ子（女の子）,외동아이(여자),hija única (niña),anak tunggal (perempuan),3
1-2,2,私立,sīlì ,Vs-attr,private,tư nhân,ส่วนตัว,သီးသန့်,プライベート,사적인,privado,pribadi,3
1-2,3,理想,lǐxiǎng,Vs,"ideal, aspired","lý tưởng, mong ước",อุดมคติปรารถนา,စံပြ၊ ဆန္ဒ,理想的な、憧れの,"이상적인, 열망하는","ideal, aspirado","ideal, dicita-citakan",3
1-2,4,合,hé ,Vst,"to tally with, to match","phù hợp, khớp với","นับด้วย, เพื่อให้ตรงกับ",ကိုက်ညီသည်၊ တူညီသည်,集計する、一致させる,"일치시키다, 일치시키다","coincidir con, igualar","menghitung, mencocokkan",3
1-2,5,痛苦,tòngkǔ ,Vs,painful,đau đớn (về tinh thần hoặc thể xác),เจ็บ / ปวด (jep / puat),နာသည် (nar thi),痛い (itai),아프다 (apeuda),doloroso,menyakitkan,3
1-2,6,科系,kēxì ,N,(academic) department,"khoa, ngành học (trong trường đại học)",(วิชาการ) แผนก,(ပညာ)ဌာန,（学術）部門,(학술)학과,departamento (académico),departemen (akademik),3
1-2,7,放棄,fàngqì,V,to give up,từ bỏ,ที่จะยอมแพ้,အရှုံးပေး,諦める,포기하다,rendirse,menyerah,3
1-2,8,不管,bùguǎn ,Conj,"no matter, regardless of","bất kể, cho dù",ไม่ว่ายังไงก็ตาม,ကိစ္စမရှိ၊ မသက်ဆိုင်,関係なく、関係なく,"상관없이, 상관없이","no importa, independientemente de","tidak masalah, terlepas dari itu",3
1-2,9,反對,fǎnduì,Vst,"to oppose, to be against",phản đối,ที่จะต่อต้านที่จะต่อต้าน,ဆန့်ကျင်ရန်၊ ဆန့်ကျင်ရန်,反対する、反対する,"반대하다, 반대하다","oponerse, estar en contra","menentang, menentang",3
1-2,10,個性,gèxìng,N,personality,tính cách,บุคลิกภาพ,ကိုယ်ရည်ကိုယ်သွေး,人格,성격,personalidad,kepribadian,3
1-2,11,活潑,huópō,Vs,"lively, bubbly, vivacious","hoạt bát, sôi nổi","มีชีวิตชีวา, มีชีวิตชีวา, มีชีวิตชีวา",အသက်ဝင်သော၊ ပွက်ပွက်ဆူနေသော၊,活気のある、陽気な、活発な,"활기찬, 발랄한, 발랄한","vivaz, burbujeante, vivaz","lincah, ceria, lincah",3
1-2,12,外語,wàiyǔ,N,foreign language,ngoại ngữ,ภาษาต่างประเทศ,နိုင်ငံခြားဘာသာစကား,外国語,외국어,lengua extranjera,bahasa asing,3
1-2,13,擔心,dānxīn ,Vst,"to worry about, to fret over with",lo lắng,"กังวล, กังวลใจกับ",စိတ်ပူဖို့၊ စိတ်မပူနဲ့,心配する、心配する,"걱정하다, 걱정하다","preocuparse por, preocuparse por","dikhawatirkan, dikhawatirkan",3
1-2,14,填,tián,V,to fill out (a form),điền (vào đơn),กรอก (แบบฟอร์ม),(ဖောင်ဖြည့်ရန်),（フォームに）記入する,(양식을) 작성하다,llenar (un formulario),mengisi (formulir),3
1-2,15,表,biǎo ,N,a form,mẫu đơn,แบบฟอร์ม,ပုံစံတစ်ခု,フォーム,양식,una forma,sebuah formulir,3
1-2,16,辦,bàn ,V,to deal with,"giải quyết, xử lý",ที่จะจัดการกับ,ကိုင်တွယ်ဖြေရှင်းရန်,対処する,다루다,lidiar con,menangani,3
1-2,17,手續,shǒuxù ,N,procedures,thủ tục,ขั้นตอน,လုပ်ထုံးလုပ်နည်းများ,手順,절차,procedimientos,prosedur,3
1-2,18,申請,shēnqǐng ,V,to apply for,"nộp đơn xin, đăng ký",ที่จะสมัคร,လျှောက်ထားရန်,申請する,신청하다,solicitar,melamar,3
1-2,19,成績單,chéngjī dān,N,"report card, transcripts","bảng điểm, phiếu điểm",บัตรรายงานใบรับรองผลการเรียน,အစီရင်ခံစာကတ်၊ ထောက်ခံစာ,通知表、成績証明書,"성적표, 성적표","boleta de calificaciones, expedientes académicos","rapor, transkrip nilai",3
1-2,20,考上,kǎoshàng ,,To test into,thi đỗ vào (một trường nào đó),เพื่อทดสอบ,စမ်းသပ်ရန်,テストするには,테스트하려면,probar en,mengujinya,3
1-2,21,推薦信,tuījiàn xìn,,a letter of recommendation,thư giới thiệu,จดหมายแนะนำ,ထောက်ခံစာတစ်စောင်,推薦状,추천서,una carta de recomendación,surat rekomendasi,3
2-1,1,起,qǐ ,Vp,starting from…,bắt đầu từ...,เริ่มต้นจาก…,ကနေစပြီး…,～から始まる,시작하는…,a partir de…,mulai dari…,3
2-1,2,外套,wàitào,N,"coat, jacket",áo khoác ngoài,"เสื้อโค้ท, แจ็คเก็ต",အင်္ကျီ၊ အင်္ကျီ,コート、ジャケット,"코트, 재킷","abrigo, chaqueta","mantel, jaket",3
2-1,3,一般,yìbān,Adv,generally; in general,"nói chung, nhìn chung",โดยทั่วไป; โดยทั่วไป,ယေဘုယျအားဖြင့်၊ ယေဘုယျအနေဖြင့်,一般的に;一般的に,일반적으로; 일반적으로,generalmente; en general,umumnya; umumnya,3
2-1,4,商品,shāngpǐn ,N,"goods, commodities",hàng hóa,สินค้าโภคภัณฑ์,ကုန်စည်၊ ကုန်စည်,商品、商品,"상품, 필수품","bienes, mercancías","barang, komoditas",3
2-1,5,折扣,zhékòu ,N,discount,giảm giá,การลดราคา,လျှော့စျေး,割引,할인,descuento,diskon,3
2-1,6,省,shěng,V,"to save, to put away",tiết kiệm,เพื่อบันทึกเพื่อนำไปทิ้ง,ကယ်တင်ရန်၊ စွန့်ပစ်ရန်,保存する、しまっておく,"저장하다, 치워두다","guardar, guardar","menyimpan, menyimpan",3
2-1,7,牌子,páizi ,N,brand,"nhãn hiệu, thương hiệu",ยี่ห้อ,အမှတ်တံဆိပ်,ブランド,상표,marca,merek,3
2-1,8,品質,pǐnzhí ,N,quality,chất lượng,คุณภาพ,အရည်အသွေး,品質,품질,calidad,kualitas,3
2-1,9,選擇,xuǎnzé ,N,choices,sự lựa chọn,ทางเลือก,ရွေးချယ်မှုများ,選択肢,선택,opciones,pilihan,3
2-1,10,樣子,yàngzi ,N,"appearance, looks","vẻ bề ngoài, hình dáng",รูปร่างหน้าตา,အသွင်အပြင်,外観、見た目,"외모, 외모","apariencia, apariencia","penampilan, penampilan",3
2-1,11,摸,mō ,V,"to feel, to touch","sờ, chạm vào",รู้สึกสัมผัส,ခံစားရန်၊ ထိရန်,感じる、触れる,"느끼다, 만지다","sentir, tocar","merasakan, menyentuh",3
2-1,12,店員,diànyuán ,N,"salesperson, store employee, clerk",nhân viên cửa hàng,"พนักงานขาย, พนักงานร้าน, เสมียน",အရောင်းဝန်ထမ်း၊ ဆိုင်ဝန်ထမ်း၊ စာရေး,販売員、店員、店員,"점원, 점원, 점원","vendedor, empleado de tienda, empleado","penjual, pegawai toko, pegawai",3
2-1,13,短,duǎn,Vs,short,ngắn,สั้น,တိုတို,短い,짧은,corto,pendek,3
2-1,14,羊毛,yángmáo ,N,lamb’s wool,len cừu,ขนแกะ,သိုးမွေးသိုးမွှေး,子羊の毛,양털,lana de cordero,bulu domba,3
2-1,15,暖和,nuǎnhuo ,Vs,warm,ấm áp,อบอุ่น,နွေး,暖かい,따뜻한,cálido,hangat,3
2-1,16,打折,dǎzhé ,V-sep,to offer a discount,giảm giá,เพื่อเสนอส่วนลด,လျှော့စျေးကမ်းလှမ်းရန်,割引を提供する,할인을 제공하기 위해,ofrecer un descuento,menawarkan diskon,3
2-1,17,原價,yuánjià ,N,original price,giá gốc,ราคาเดิม,မူရင်းစျေးနှုန်း,元の価格,원래 가격,precio original,harga asli,3
2-1,18,刷卡,shuākǎ ,V-sep,"to swipe, i.e., use a credit card",quẹt thẻ (thẻ tín dụng),เพื่อรูด เช่น ใช้บัตรเครดิต,ပွတ်ဆွဲရန်၊ ဆိုလိုသည်မှာ ခရက်ဒစ်ကတ်ကို အသုံးပြုပါ။,スワイプする、つまりクレジット カードを使用する,"스와이프하다, 즉 신용카드를 사용하다","deslizar, es decir, usar una tarjeta de crédito","menggesek, yaitu menggunakan kartu kredit",3
2-1,19,現金,xiànjīn,N,cash,tiền mặt,เงินสด,ငွေသား,現金,현금,dinero,uang tunai,3
2-1,20,麻煩,máfán,V,please (lit. allow me to trouble you),làm ơn (làm phiền),ได้โปรด (ตามตัวอักษรให้ฉันรบกวนคุณ),ကျေးဇူးပြုပြီး (တကယ်တော့ မင်းကို ဒုက္ခပေးဖို့ ခွင့်ပြုပါ),お願いします（文字通り、迷惑をかけさせてください）,"제발 (문자 그대로, 내가 당신을 괴롭힐 수 있게 해주세요)","por favor (literalmente, permíteme molestarte)","tolong (secara harfiah, izinkan saya merepotkan Anda)",3
2-1,21,簽名,qiānmíng ,V-sep,to sign ,ký tên,ที่จะลงนาม,လက်မှတ်ထိုးရန်,署名する,서명하다,firmar,menandatangani,3
2-1,22,破洞,pòdòng ,Vp-sep,to have a hole,bị thủng lỗ,ที่จะมีรู,အပေါက်တစ်ခုရှိသည်။,穴があること,구멍이 나다,tener un agujero,memiliki lubang,3
2-1,23,發票,fāpiào ,N,receipt,hóa đơn,ใบเสร็จ,ပြေစာ,レシート,영수증,recibo,kuitansi,3
2-1,24,弄,nòng,V,"(pro-verb) to cause, to do",làm (một động từ thay thế cho nhiều động từ khác),"(สุภาษิต) ทำให้เกิด, ทำ",(pro-verb) အကြောင်းမဲ့၊လုပ်ရန်,(動詞の代名詞) 引き起こす、行う,"(속어) ~을 일으키다, ~을 하게 하다","(pro-verbo) causar, hacer","(kata kerja) menyebabkan, melakukan",3
2-1,25,退,tuì ,V,to return (purchases),trả lại (hàng đã mua),เพื่อส่งคืน (การซื้อ),ပြန်လာရန် (ဝယ်ယူမှုများ),返品（購入）する,(구매를) 돌려보내다,devolver (compras),mengembalikan (pembelian),3
2-1,26,換,huàn,V,to exchange,đổi (hàng),แลกเปลี่ยน (laek plian),ဖလှယ်သည် (pha lal thi),交換する (kōkan suru),교환하다 (gyohwanhada),intercambiar,bertukar,3
2-1,27,店長,diànzhǎng,N,store manager,quản lý cửa hàng,ผู้จัดการร้าน,စတိုးဆိုင်မန်နေဂျာ,店長,매장 관리자,gerente de tienda,manajer toko,3
2-1,28,週年慶,zhōunián qìng ,,anniversary,lễ kỷ niệm thành lập (cửa hàng),วันครบรอบปี,နှစ်ပတ်လည်နေ့,周年,기념일,aniversario,peringatan tahunan,3
2-1,29,一般來說,yìbān láishuō ,,generally speaking,nói chung là,พูดโดยทั่วไป,ယေဘူယျအားဖြင့်ပြောရ၏။,一般的に言えば,일반적으로 말하면,en términos generales,secara umum,3
2-1,30,試穿,shì chuān ,,to try on (garments),thử (quần áo),ที่จะลอง(เสื้อผ้า),ကြိုးစားရန် (အဝတ်များ),（衣服を）試着する,(옷을) 입어보다,probarse (prendas),mencoba (pakaian),3
2-1,31,打完折,dǎ wán zhé,,after discouont,sau khi giảm giá,หลังจากส่วนลด,လျှော့စျေးပြီးနောက်,割引後,할인 후,después del descuento,setelah diskon,3
2-1,32,弄丟,nòng diū,,to lose,làm mất,ตก (tok) / หาย (hai) / ทำหาย (tham hai),ပြုတ်သည် (pyote thi) / ကျသည် (kya thi) / ပျောက်သည် (pyout thi),落とす (otosu) / なくす (nakusu),잃어버리다 (ireobeorida) / 떨어뜨리다 (tteoreotteurida),perder,kalah,3
2-2,1,購物,gòuwù ,Vi,to go shopping,đi mua sắm,ไปช้อปปิ้ง,ဈေးဝယ်ထွက်ဖို့,買い物に行く,쇼핑하러,ir de compras,pergi berbelanja,3
2-2,2,糾紛,jiūfēn,N,dispute,tranh chấp,ข้อพิพาท,အငြင်းပွား,紛争,논쟁,disputar,sengketa,3
2-2,3,電信,diànxìn ,N,telecommunications ,viễn thông,โทรคมนาคม,ဆက်သွယ်ရေး,電気通信,통신,telecomunicaciones,telekomunikasi,3
2-2,4,門市,ménshì ,N,retail outlet,cửa hàng bán lẻ,ร้านค้าปลีก,လက်လီဆိုင်,小売店,소매점,punto de venta,gerai ritel,3
2-2,5,居留證,jūliúzhèng ,N,Alien Resident Certificate (ARC in Taiwan),Thẻ Cư trú dành cho Người nước ngoài (ở Đài Loan),ใบรับรองถิ่นที่อยู่ของคนต่างด้าว (ARC ในไต้หวัน),Alien Resident Certificate (ထိုင်ဝမ်ရှိ ARC),外国人居住証明書（台湾のARC）,외국인 거주 증명서(대만 ARC),Certificado de residente extranjero (ARC en Taiwán),Sertifikat Penduduk Asing (ARC di Taiwan),3
2-2,6,月租型,yuèzūxíng,N,a monthly plan,gói cước trả trước hàng tháng,แผนรายเดือน,လစဉ်အစီအစဉ်,月額プラン,월간 계획,un plan mensual,rencana bulanan,3
2-2,7,帳單,zhàngdān ,N,bill,hóa đơn (cần thanh toán),ใบแจ้งหนี้,ဘေလ်,請求書,청구서,factura,tagihan,3
2-2,8,並,bìng ,Adv,contrary to assumption (followed by a negative statement),không (dùng để nhấn mạnh sự trái ngược với suy nghĩ),ขัดต่อสมมติฐาน (ตามด้วยข้อความเชิงลบ),ယူဆချက်နှင့်ဆန့်ကျင်ဘက် (အပျက်သဘောဆောင်သောဖော်ပြချက်)၊,仮定に反して（その後に否定的な発言が続く）,가정과 반대됨(부정적인 진술이 뒤따름),contrario a la suposición (seguido de una declaración negativa),bertentangan dengan asumsi (diikuti dengan pernyataan negatif),3
2-2,9,包括,bāokuò,V,to include,bao gồm,ที่จะรวม,ပါဝင်ရန်,含める,포함하다,incluir,memasukkan,3
2-2,10,解釋,jiěshì ,N,explanation,lời giải thích,คำอธิบาย,ရှင်းလင်းချက်,説明,설명,explicación,penjelasan,3
2-2,11,顧客,gùkè,N,customer,khách hàng,ลูกค้า,ဖောက်သည်,お客様,고객,cliente,pelanggan,3
2-2,12,尤其,yóuqí ,Adv,"especially, in particular",đặc biệt là,โดยเฉพาะอย่างยิ่งโดยเฉพาะอย่างยิ่ง,အထူးသဖြင့် အထူးသဖြင့်,特に、特に,"특히, 특히","especialmente, en particular","khususnya, khususnya",3
2-2,13,騙,piàn,V,"to cheat, to swindle",lừa đảo,"โกง, ฉ้อฉล",လိမ်ဖို့၊ လှည့်စားတယ်။,騙す、騙す,"사기를 치다, 사기를 치다","engañar, estafar","menipu, menipu",3
2-2,14,頓,dùn,M,verbal measure word for a duration of action,"lượng từ cho hành động kéo dài (bữa ăn, trận đòn...)",คำพูดวัดระยะเวลาของการกระทำ,နှုတ်ဖြင့် တိုင်းတာသော စကားလုံးသည် ကမ္မဋ္ဌာန်းတစ်ခုဖြစ်သည်။,口頭 行動の持続時間を測る言葉,행동의 지속 기간에 대한 구두 측정 단어,palabra de medida verbal por la duración de la acción,kata ukur verbal untuk durasi tindakan,3
2-2,15,辦法,bànfǎ,N,solution,giải pháp,สารละลาย,ဖြေရှင်းချက်,解決,해결책,solución,larutan,3
2-2,16,自動,zìdòng ,Adv,"by itself, on its own, automatically",tự động,"ด้วยตัวเอง, ด้วยตัวเอง, โดยอัตโนมัติ",သူ့ဘာသာသူ သူ့အလိုလို၊,それ自体で、それ自体で、自動的に,"저절로, 저절로, 자동으로","por sí solo, por sí solo, automáticamente","dengan sendirinya, dengan sendirinya, secara otomatis",3
2-2,17,關機,guānjī,Vp-sep,"to turn off, to shut down",tắt máy,"ปิด, ปิดเครื่อง",ပိတ်ရန်၊ ပိတ်ရန်,電源を切る、シャットダウンする,"끄다, 종료하다","apagar, apagar","mematikan, mematikan",3
2-2,18,修理,xiūlǐ ,V,to repair,sửa chữa,เพื่อซ่อมแซม,ပြုပြင်ရန်,修理する,수리하다,reparar,memperbaiki,3
2-2,19,繳費,jiǎofèi,V-sep,to pay a fee,nộp phí,เพื่อชำระค่าธรรมเนียม,အခကြေးငွေပေးဆောင်ရန်,料金を支払う,수수료를 지불하다,pagar una tarifa,membayar biaya,3
2-2,20,預付卡,yùfù kǎ ,,prepaid SIM card ,thẻ trả trước,ซิมการ์ดแบบเติมเงิน,ကြိုတင်ငွေဖြည့် ဆင်းမ်ကတ်,プリペイドSIMカード,선불 SIM 카드,tarjeta SIM prepago,kartu SIM prabayar,3
2-2,21,換成,huàn chéng ,,to change to,đổi thành,ที่จะเปลี่ยนเป็น,ပြောင်းလဲရန်,に変更する,로 변경하다,cambiar a,mengubah ke,3
2-2,22,吃到飽,chī dào bǎo ,,unlimited data (lit. all you can eat),dữ liệu không giới hạn (nghĩa đen: ăn thoải mái),ข้อมูลไม่จำกัด (จริงๆ แล้วกินได้ไม่อั้น),အကန့်အသတ်မရှိဒေတာ (စာသားအရ၊ သင်စားနိုင်သမျှ),データ無制限（文字通り、食べ放題）,무제한 데이터(말 그대로 무제한으로 먹을 수 있음),"datos ilimitados (literalmente, todo lo que puedas comer)","data tak terbatas (secara harfiah, makan sepuasnya)",3
2-2,23,嚇一跳,xià yí tiào ,,"shocked, startled, taken aback","giật mình, hoảng hốt","ตะลึง, สะดุ้ง, ตะลึง",ထိတ်လန့်ခြင်း၊ ထိတ်လန့်ခြင်း၊,ショックを受ける、びっくりする、びっくりする,"충격을 받은, 깜짝 놀란, 당황한","sorprendido, sorprendido, desconcertado","kaget, kaget, kaget",3
2-2,24,客服中心,kèfú zhōngxīn,,customer service center,trung tâm chăm sóc khách hàng,ศูนย์บริการลูกค้า,ဖောက်သည်ဝန်ဆောင်မှုစင်တာ,カスタマーサービスセンター,고객 서비스 센터,centro de atención al cliente,pusat layanan pelanggan,3
3-1,1,陳敏萱,Chén Mǐnxuān ,,A woman from the Netherlands,một người phụ nữ từ Hà Lan,ผู้หญิงคนหนึ่งจากเนเธอร์แลนด์,နယ်သာလန်မှ အမျိုးသမီးတစ်ဦး,オランダから来た女性,네덜란드에서 온 여자,Una mujer de Holanda,Seorang wanita dari Belanda,3
3-1,2,高橋健太,Gāoqiáo Jiàntài ,,A man from Japan,một người đàn ông từ Nhật Bản,ผู้ชายญี่ปุ่น (phu chai yi pun),ဂျပန်အမျိုးသား (ja pan a myo tha),日本人の男性 (nihonjin no dansei),일본 남자 (ilbon namja),un hombre de japon,Seorang pria dari Jepang,3
3-1,3,空氣,kōngqì,N,air,không khí,อากาศ,လေ,空気,공기,aire,udara,3
