課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊,
3-1,19,邀請,yāoqǐng ,V,to invite,mời,6,
3-1,20,編舞家,biānwǔjiā ,N,choreographer,biên đạo múa,6,
3-1,21,量身打造,liángshēn dǎzào ,Id,"tailor-make, specially made for, custom design","đặt làm riêng, thiết kế riêng",6,
3-1,22,舞目,wǔmù ,N,dance program,chương trình múa,6,
3-1,23,首席,shǒuxí ,N,"first chair (e.g., first cello), leading, chief position","vị trí chính, vị trí dẫn đầu",6,
3-1,24,舞星,wǔxīng ,N,dance star,ngôi sao múa,6,
3-1,25,會,huì ,V,"to meet up, to confront","gặp gỡ, đối mặt",6,
3-1,26,心血,xīnxiě ,N,"blood and sweat, painstaking effort","mồ hôi và nước mắt, nỗ lực gian khổ",6,
3-1,27,化為,huàwéi ,Vpt,"to transform into, to turn into, to change into","biến đổi thành, chuyển thành",6,
3-1,28,作品,zuòpǐn ,N,"production, work, composition","tác phẩm, sản phẩm sáng tạo",6,
3-1,29,規劃,guīhuà ,N ,plan,kế hoạch,6,
3-1,30,舞曲,wǔqǔ ,N,dance music,nhạc cho múa,6,
3-1,31,民俗,mínsú ,N,"folk, folklore","dân gian, văn hóa dân gian",6,
3-1,32,生平,shēngpíng ,N,"in one’s life time, life, life story","trong suốt cuộc đời, cuộc đời",6,
3-1,33,不得不,bùdébù,Adv,must; have to,phải; bắt buộc phải,6,
3-1,34,硬著頭皮,yìngzhe tóupí,Ph,"summon up the courage to do something, brace yourself to do something, force yourself to do something","gắng sức làm gì, bắt bản thân làm gì",6,
3-1,35,灑落,sǎluò ,Vi,"sprinkled, scattered (leaves, petals), flooded, inundated (light) ","rải rác (lá, cánh hoa), tràn ngập (ánh sáng)",6,
3-1,36,剎那,chànà ,N,"moment, instant","khoảnh khắc, chốc lát",6,
3-1,37,感到,gǎndào ,Vst,to feel,cảm thấy,6,
3-1,38,存在感,cúnzàigǎn ,N,"sense of presence, sense of existence","cảm giác hiện hữu, cảm giác tồn tại",6,
3-1,39,報考,bàokǎo ,V,to apply for admission to a school/university,nộp đơn xin nhập học vào trường đại học/học viện,6,
3-1,40,民族舞,mínzúwǔ ,N,folk dance,múa dân gian,6,
3-1,41,終,zhōng ,Adv,"in the end, ultimately, eventually (classical Chinese)","rốt cuộc, cuối cùng (văn ngôn)",6,
3-1,42,上帝,shàngdì ,N,God,"Chúa, Thượng đế",6,
3-1,43,疼愛,téngài ,Vst,to love dearly,yêu thương tha thiết,6,
3-1,1,生身不息,shēngshēn bùxí ,,timeless (name of a dance program),bất tử (tên một chương trình múa),6,
3-1,2,許芳宜,Xǔ Fāngyí ,,"Sheu Fang-yi (a famous female dancer and artist from Taiwan, 1971-)","Sheu Fang-yi (nữ vũ công và nghệ sĩ nổi tiếng Đài Loan, 1971-)",6,
3-1,3,勞勃．阿特曼,Láobó ātèmàn ,,"Robert Altman (an American film director, screenwriter, and producer, five-time nominee of the Academy Award for Best Director, 1925-2006)","Robert Altman (đạo diễn phim người Mỹ, 1925-2006)",6,
3-1,4,舞動世紀,wǔdòng shìjì ,,"The Company (name of a movie, 2003)","The Company (tên một bộ phim, 2003)",6,
3-1,5,瑪莎．葛蘭姆,Mǎshā Gělánmǔ ,,"Martha Graham (an American modern dancer and choreographer, one of the earliest founders of modern dance, 1894-1991)","Martha Graham (vũ công và biên đạo múa hiện đại người Mỹ, 1894-1991)",6,
3-1,6,倫敦,Lúndūn ,,London,London,6,
3-1,7,阿喀郎．汗,Ākèlǎng Hàn ,,"Akram Khan (an English dancer of Bangladeshi descent, 1974-)","Akram Khan (vũ công người Anh gốc Bangladesh, 1974-)",6,
3-1,8,克理斯多福．惠爾敦,Kèlǐsīduōfú  Huì’ěrdūn ,,"Christopher Wheeldon (an English international choreographer of contemporary ballet, 1973-)","Christopher Wheeldon (biên đạo múa ba lê đương đại người Anh, 1973-)",6,
3-1,9,紐約市立芭蕾舞團,Niǔyuē shìlì bālěi wǔtuán ,,New York City Ballet,New York City Ballet,6,
3-1,10,溫蒂．威倫,Wēndì   Wēilún ,,"Wendy Whelan (a principal dancer with the New York City Ballet and is a guest artist with The Royal Ballet and the Kirov Ballet, 1967-)","Wendy Whelan (vũ công chính của New York City Ballet, 1967-)",6,
3-1,11,華岡藝校,Huágāng  Yìxiào ,,Taipei Hwa Kang Arts School,Trường Nghệ thuật Taipei Hwa Kang,6,
3-2,1,從（來）,cóng (lái),Adv,has always been; all along,"luôn luôn, xưa nay",6,
3-2,2,不間斷（地）,bú jiànduàn (de),Adv,without interruption,không gián đoạn,6,
3-2,3,保送,bǎosòng ,V,to be admitted to university solely upon recommendation without exams,được nhận vào đại học chỉ dựa trên tiến cử mà không cần thi,6,
3-2,4,扇,shàn ,M,measure for doors,cánh cửa,6,
3-2,5,貴人,guìrén ,N,a guardian angel,một vị thần hộ mệnh,6,
3-2,6,一眼,yìyǎn ,Adv,"with one look, with one glance, instantly","chỉ với một cái nhìn, ngay lập tức",6,
3-2,7,發覺,fājué ,Vp,"to realize, discover","nhận ra, phát hiện ra",6,
3-2,8,才華,cáihuá ,N,talent,tài năng,6,
3-2,9,痛哭流涕,tòngkū liútì,Id,"to burst into tears, cry your heart out","bật khóc, khóc nức nở",6,
3-2,10,輩子,bèizi ,N,(over) one’s life time ,(trong suốt) cuộc đời,6,
3-2,11,公開,gōngkāi ,Adv ,"openly, publicly",một cách công khai,6,
3-2,12,稱讚,chēngzàn ,V,to praise,khen ngợi,6,
3-2,13,下定決心,xiàdìng juéxīn,Ph,"to resolve to do, determined to do, make up one’s mind","quyết tâm làm, kiên quyết làm",6,
3-2,14,海綿,hǎimián ,N,sponge,bọt biển,6,
3-2,15,吸收,xīshōu ,V,to absorb,hấp thụ,6,
3-2,16,隻身,zhīshēn ,Adv,"alone, by oneself, unaccompanied","một mình, đơn độc",6,
3-2,17,術科,shùkē ,N,technical subject,môn học kỹ thuật,6,
3-2,18,跳舞,tiàowǔ ,V-sep,to dance,nhảy múa,6,
3-2,19,其餘,qíyú,Det,"others, the remaining","những người khác, phần còn lại",6,
3-2,20,學科,xuékē ,N,academic subjects,môn học thuật,6,
3-2,21,憑,píng ,Prep,"owing to, relying on, by means of","nhờ vào, dựa vào, bằng cách",6,
3-2,22,毅力,yìlì ,N,"will-power, determination","ý chí, sự quyết tâm",6,
3-2,23,克服,kèfú ,V,to overcome,vượt qua,6,
3-2,24,語言翻譯機,yǔyán fānyìjī,Ph,e-language translator,máy dịch ngôn ngữ điện tử,6,
3-2,25,種種,zhǒngzhǒng,M,various kinds of ,đủ loại,6,
3-2,26,瞬間,shùnjiān ,N,"instant, moment, in the twinkling of an eye","trong chớp mắt, khoảnh khắc",6,
3-2,27,加諸（在）,jiāzhū (zài) ,V,"to be added to, conferred upon","được ban cho, được trao tặng",6,
3-2,28,沖昏頭,chōnghūn tóu,Ph,"to let something get to your head, let your head swell from (praise, pride, etc.), dazzled by","để cái gì đó lên đầu, choáng ngợp bởi (lời khen, niềm kiêu hãnh)",6,
3-2,29,評論,pínglùn ,N,"commentary, review","bình luận, bài phê bình",6,
3-2,30,天堂,tiāntáng ,N,"heaven, paradise","thiên đường, thiên quốc",6,
3-2,31,地獄,dìyù ,N,hell,địa ngục,6,
3-2,32,戰戰兢兢,zhànzhàn jīngjīng,Id,"timid with anticipation, trembling, jittery","run rẩy vì mong đợi, hồi hộp",6,
3-2,33,當作,dāngzuò ,Vst,regard as,"coi như, xem như",6,
3-2,34,肯定,kěndìng ,N,"approval, affirmation","sự chấp thuận, sự khẳng định",6,
3-2,35,再次,zàicì ,Adv,yet again,lại một lần nữa,6,
3-2,36,何嘗,hécháng ,Adv,cannot possibly,không thể nào,6,
3-2,37,不自覺,búzìjué ,Adv,"unconsciously, without realizing it","một cách vô thức, không nhận ra",6,
3-2,38,體內,tǐnèi ,N,"inside a person, inside the body, from within","bên trong con người, từ bên trong",6,
3-2,39,散,sàn ,Vi,"to disperse, permeate  ","tỏa ra, thấm đẫm",6,
3-2,40,熟悉,shóuxī ,Vs,familiar,quen thuộc,6,
3-2,41,臉孔,liǎnkǒng ,N,face (literary),khuôn mặt (văn chương),6,
3-2,42,期待已久,qídài yǐjiǔ,Ph,"long awaited, long anticipated, looked forward to for a long time","được mong đợi từ lâu, trông chờ từ lâu",6,
3-2,43,固定,gùdìng ,Vs,"fixed, invariable, by routine","cố định, bất biến, theo lối mòn",6,
3-2,1,羅斯．帕克斯,Luósī pàkèsī ,,"Ross Parkes (formerly a principal dancer for the well-known Martha Graham Dance Company in the United States, 1940-)","Ross Parkes (nguyên là vũ công chính của Martha Graham Dance Company, 1940-)",6,
3-2,2,葛蘭姆舞團,Gělánmǔ wǔtuán ,,"Martha Graham Dance Company, New York","Martha Graham Dance Company, New York",6,
4-1,1,做人,zuòrén,Vi,"to conduct oneself, to behave","cư xử, hành xử",6,
4-1,2,心法,xīnfǎ,N,mental cultivation methods,phương pháp tu dưỡng tinh thần,6,
4-1,3,談論,tánlùn,V,"to discuss, to talk about","thảo luận, nói chuyện về",6,
4-1,4,真誠,zhēnchéng,Vs,"sincere, sincerity","chân thành, sự chân thành",6,
4-1,5,讚美,zànměi,V/N,to praise; praise,khen ngợi; lời khen,6,
4-1,6,親和力,qīnhélì,N,"likeability, affinity","sự dễ mến, sự thân thiện",6,
4-1,7,笑容,xiàoróng,N,smile,nụ cười,6,
4-1,8,此,cǐ,Det,"(literary) this, these","này, những (văn chương)",6,
4-1,9,祕訣,mìjué,N,secret (of success),bí quyết (thành công),6,
4-1,10,拉近距離,lājìn jùlí,Ph,"connect with, get to know better, bring people closer together, close the gap between people","kết nối, hiểu nhau hơn, thu hẹp khoảng cách",6,
4-1,1,傳授,chuánshòu,V,"to impart, to pass on knowledge","truyền đạt, truyền thụ kiến thức",6,
